Date (MM/DD/YYYY),Time (HH:MM),NaN,NaN,GHI (W/m^2),NaN,NaN,DNI (W/m^2),NaN,NaN,DHI (W/m^2),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,TotCld (tenths),NaN,NaN,NaN,NaN,NaN,Dry-bulb (C),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Pressure (mbar),NaN,NaN,NaN,NaN,NaN,Wspd (m/s),NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
01/01/2024,01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6825,0,0,0,0,0,3.031,0,0,0,0,0,0,0,0,1013.93,0,0,0,0,0,3.896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.275,0,0,0,0,0,2.989,0,0,0,0,0,0,0,0,1013.98,0,0,0,0,0,3.834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,03:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.46625,0,0,0,0,0,2.907,0,0,0,0,0,0,0,0,1013.85,0,0,0,0,0,3.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,04:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.405,0,0,0,0,0,2.859,0,0,0,0,0,0,0,0,1013.79,0,0,0,0,0,3.927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7175,0,0,0,0,0,2.773,0,0,0,0,0,0,0,0,1013.69,0,0,0,0,0,3.978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,06:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.0925,0,0,0,0,0,2.659,0,0,0,0,0,0,0,0,1013.71,0,0,0,0,0,3.923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,07:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60375,0,0,0,0,0,2.634,0,0,0,0,0,0,0,0,1013.9,0,0,0,0,0,3.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,08:00,0,0,0.557,0,0,0,0,0,0.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.93875,0,0,0,0,0,2.502,0,0,0,0,0,0,0,0,1014.21,0,0,0,0,0,3.904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,09:00,0,0,17.668,0,0,1.722,0,0,15.947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.49125,0,0,0,0,0,2.703,0,0,0,0,0,0,0,0,1014.54,0,0,0,0,0,3.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,10:00,0,0,59.196,0,0,15.036,0,0,44.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.645,0,0,0,0,0,3.212,0,0,0,0,0,0,0,0,1014.68,0,0,0,0,0,3.915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,11:00,0,0,83.574,0,0,22.362,0,0,61.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.93,0,0,0,0,0,3.625,0,0,0,0,0,0,0,0,1014.51,0,0,0,0,0,3.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,12:00,0,0,102.832,0,0,27.767,0,0,75.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.565,0,0,0,0,0,4.095,0,0,0,0,0,0,0,0,1014.24,0,0,0,0,0,3.898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01/01/2024,13:00,0,0,94.15,0,0,24.453,0,0,69.696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21375,0,0,0,0,0,4.361,0,0,0,0,0,0,0,0,1013.98,0,0,0,0,0,3.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
