,G_Dh
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0.557
8,15.947
9,44.16
10,61.211
11,75.066
12,69.696
13,53.552
14,29.14
15,3.956
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0.526
32,16.287
33,47.741
34,71.073
35,73.721
36,66.139
37,52.892
38,28.902
39,4.153
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0.011
52,0
53,0
54,0.006
55,0.421
56,14.734
57,38.023
58,57.26
59,64.626
60,61.285
61,51.359
62,26.17
63,4.29
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0.379
80,15.047
81,41.271
82,59.683
83,63.844
84,64.904
85,51.137
86,23.774
87,3.294
88,0
89,0
90,0
91,0
92,0.014
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0.589
104,17.381
105,45.027
106,64.844
107,70.709
108,61.803
109,46.118
110,28.354
111,4.058
112,0.006
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0.474
128,20.963
129,54.201
130,72.093
131,77.706
132,73.805
133,61.473
134,33.941
135,5.244
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0.656
152,17.829
153,49.649
154,67.599
155,69.363
156,61.357
157,52.705
158,29.98
159,4.602
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0.909
176,17.126
177,46.966
178,68.253
179,76.294
180,70.369
181,55.812
182,31.381
183,4.531
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0.464
200,18.339
201,46.598
202,72.637
203,80.064
204,77.228
205,63.022
206,33.22
207,6.215
208,0
209,0
210,0.028
211,0.033
212,0.033
213,0.017
214,0.028
215,0.033
216,0.028
217,0.011
218,0.006
219,0.017
220,0.028
221,0.034
222,0.017
223,0.962
224,23.437
225,53.488
226,75.09
227,87.454
228,85.879
229,67.574
230,41.649
231,7.33
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0.006
246,0
247,0.985
248,18.699
249,42.449
250,64.073
251,71.089
252,69.225
253,57.803
254,35.148
255,7.331
256,0
257,0
258,0
259,0
260,0.006
261,0.014
262,0.028
263,0.033
264,0.017
265,0.011
266,0.033
267,0.033
268,0.033
269,0.033
270,0.033
271,1.151
272,20.403
273,46.611
274,64.345
275,77.504
276,75.758
277,58.631
278,35.125
279,7.561
280,0.017
281,0.017
282,0.011
283,0.023
284,0.028
285,0
286,0
287,0.014
288,0.017
289,0.033
290,0.033
291,0.033
292,0.033
293,0.033
294,0.033
295,1.158
296,21.406
297,53.489
298,74.91
299,84.618
300,76.946
301,66.329
302,37.944
303,8.903
304,0.011
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0.841
320,20.624
321,52.128
322,71.396
323,81.159
324,73.155
325,60.632
326,38.168
327,8.285
328,0.006
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0.017
339,0.033
340,0.023
341,0.033
342,0.014
343,1.294
344,22.245
345,51.22
346,65.344
347,71.819
348,72.18
349,56.881
350,34.913
351,6.781
352,0.022
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,1.631
368,25.508
369,50.946
370,70.12
371,87.863
372,89.802
373,69.077
374,40.995
375,10.068
376,0.01
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,1.599
392,24.007
393,51.465
394,73.381
395,81.282
396,77.439
397,61.081
398,41.111
399,11.729
400,0.05
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,1.635
416,24.108
417,50.403
418,74.352
419,84.116
420,76.202
421,59.761
422,37.807
423,9.318
424,0.051
