,G_Bn
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1.722
9,15.036
10,22.362
11,27.767
12,24.453
13,15.455
14,4.34
15,0.067
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,2.517
33,16.156
34,28.652
35,34.484
36,32.4
37,29.254
38,5.061
39,0.092
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0.002
56,2.265
57,12.092
58,21.718
59,33.991
60,36.411
61,14.283
62,5.806
63,0.42
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0.797
81,10.652
82,23.915
83,26.704
84,19.893
85,18.042
86,4.294
87,0.019
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0.001
104,2.449
105,19.727
106,34.995
107,41.976
108,41.078
109,23.781
110,4.408
111,0.013
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0.001
128,3.416
129,24.924
130,41.849
131,43.482
132,43.918
133,29.075
134,8.274
135,0.177
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0.609
153,10.455
154,21.962
155,25.063
156,26.99
157,20.514
158,6.249
159,0.154
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0.004
176,1.122
177,9.115
178,18.435
179,21.74
180,27.617
181,21.705
182,6.955
183,0.242
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0.001
200,3.075
201,20.98
202,45.442
203,59.457
204,51.515
205,34.167
206,8.183
207,0.292
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0.002
224,3.667
225,31.208
226,56.682
227,60.006
228,58.965
229,32.775
230,8.114
231,0.189
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0.009
248,5.414
249,22.818
250,34.972
251,49.896
252,51.87
253,33.081
254,6.945
255,0.254
256,0
257,0
258,0
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0.001
272,1.065
273,10.293
274,20.797
275,36.679
276,31.274
277,18.244
278,6.487
279,0.235
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0.003
296,3.752
297,15.331
298,37.832
299,39.248
300,38.534
301,24.956
302,8.321
303,0.664
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0.019
320,4.347
321,17.926
322,35.876
323,32.296
324,39.483
325,21.033
326,10.518
327,0.852
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0.003
344,8.956
345,26.909
346,45.364
347,43.346
348,40.286
349,31.475
350,8.743
351,0.468
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0.009
368,7.095
369,30.398
370,55.398
371,53.776
372,51.831
373,39.946
374,13.496
375,0.742
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0.007
392,6.843
393,21.617
394,31.989
395,45.03
396,53.03
397,39.862
398,15.565
399,1.333
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0.003
416,4.886
417,16.261
418,30.036
419,41.492
420,38.229
421,31.467
422,9.377
423,0.446
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0.003
440,2.257
441,19.973
442,45.391
443,50.029
444,33.209
445,25.419
446,7.723
447,1.109
448,0
