Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
01/01/2015,01:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,9,,,2.80,,,0.90,,,87,,,1012.8,,,220,,,4.00,,,777700,,,77777,,,110,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,02:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,9,,,9,,,2.50,,,0.80,,,88,,,1012.8,,,224,,,3.70,,,777700,,,77777,,,110,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,03:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,9,,,9,,,2.30,,,0.70,,,89,,,1012.8,,,224,,,3.30,,,777700,,,77777,,,110,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,04:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,9,,,9,,,2.00,,,0.60,,,90,,,1012.8,,,190,,,3.00,,,777700,,,77777,,,110,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,05:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,9,,,9,,,2.00,,,0.40,,,89,,,1012.8,,,235,,,3.20,,,777700,,,77777,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,06:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,9,,,2.00,,,0.20,,,88,,,1012.8,,,209,,,3.30,,,777700,,,77777,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,07:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,9,,,2.00,,,0.00,,,87,,,1012.8,,,212,,,3.50,,,777700,,,77777,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,08:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,8,,,1.90,,,-0.20,,,86,,,1012.8,,,205,,,3.70,,,777700,,,456,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,09:00,20,155,68,,,242,,,39,,,10080,,,21766,,,8623,,,7439,,,10,,,8,,,1.90,,,-0.40,,,84,,,1012.8,,,220,,,3.80,,,777700,,,77777,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,10:00,171,1415,110,,,180,,,77,,,14584,,,16232,,,13328,,,9616,,,8,,,8,,,1.90,,,-0.60,,,83,,,1012.8,,,210,,,4.00,,,777700,,,99,,,90,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,11:00,281,1415,133,,,134,,,101,,,16390,,,14000,,,14536,,,9277,,,8,,,8,,,2.20,,,-0.40,,,82,,,1012.8,,,220,,,4.20,,,777700,,,90,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,12:00,342,1415,134,,,141,,,100,,,15335,,,14000,,,13509,,,7962,,,8,,,8,,,2.60,,,-0.30,,,81,,,1012.8,,,209,,,4.30,,,777700,,,195,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,13:00,350,1415,114,,,134,,,85,,,11577,,,10863,,,10747,,,6238,,,7,,,7,,,2.90,,,-0.20,,,80,,,1012.8,,,216,,,4.50,,,777700,,,267,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,14:00,303,1415,70,,,80,,,56,,,5945,,,4895,,,5914,,,3524,,,7,,,7,,,3.20,,,0.00,,,79,,,1012.8,,,210,,,4.70,,,777700,,,233,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,15:00,206,1415,22,,,16,,,20,,,1543,,,840,,,1543,,,952,,,7,,,7,,,3.60,,,0.20,,,78,,,1012.8,,,213,,,4.80,,,777700,,,219,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,16:00,66,1415,2,,,0,,,2,,,81,,,0,,,81,,,32,,,7,,,7,,,3.90,,,0.30,,,77,,,1012.8,,,210,,,5.00,,,777700,,,224,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,17:00,0,530,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,7,,,4.00,,,0.20,,,76,,,1012.8,,,212,,,5.20,,,777700,,,234,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,18:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,7,,,4.10,,,0.10,,,75,,,1012.8,,,207,,,5.30,,,777700,,,235,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,19:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,,6,,,4.20,,,0.00,,,74,,,1012.8,,,207,,,5.50,,,777700,,,268,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,20:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,,6,,,4.20,,,-0.10,,,73,,,1012.8,,,206,,,5.70,,,777700,,,228,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,21:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,,6,,,4.30,,,-0.20,,,72,,,1012.8,,,207,,,5.80,,,777700,,,222,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,22:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,,6,,,4.40,,,-0.30,,,71,,,1012.8,,,210,,,6.00,,,777700,,,149,,,100,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,23:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,7,,,4.50,,,1.20,,,79,,,1012.8,,,216,,,5.00,,,777700,,,113,,,110,,,0.0850,,,0.140,,,0.0,0,,
01/01/2015,24:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,9,,,9,,,4.70,,,2.80,,,87,,,1012.8,,,216,,,4.00,,,777700,,,79,,,130,,,0.0850,,,0.140,,,0.4,0,,
01/02/2015,01:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,10,,,10,,,4.40,,,4.20,,,99,,,1012.8,,,216,,,4.80,,,777700,,,33,,,150,,,0.0840,,,0.140,,,0.4,0,,
01/02/2015,02:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,10,,,10,,,4.70,,,4.30,,,97,,,1012.8,,,218,,,5.50,,,777700,,,29,,,150,,,0.0840,,,0.140,,,1.2,0,,
01/02/2015,03:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,10,,,10,,,5.00,,,4.40,,,96,,,1012.8,,,221,,,6.20,,,777700,,,30,,,150,,,0.0840,,,0.140,,,0.1,0,,
01/02/2015,04:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,10,,,10,,,5.30,,,4.50,,,95,,,1012.8,,,220,,,7.00,,,777700,,,30,,,160,,,0.0840,,,0.140,,,0.2,0,,
01/02/2015,05:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,9,,,9,,,5.90,,,4.60,,,91,,,1012.8,,,227,,,7.00,,,777700,,,30,,,160,,,0.0840,,,0.140,,,0.5,0,,
01/02/2015,06:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,9,,,9,,,6.60,,,4.60,,,87,,,1012.8,,,232,,,7.00,,,777700,,,30,,,160,,,0.0840,,,0.140,,,0.1,0,,
01/02/2015,07:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,8,,,8,,,7.20,,,4.70,,,84,,,1012.81,,,238,,,7.00,,,777700,,,30,,,160,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,08:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,8,,,8,,,7.80,,,4.80,,,81,,,1012.81,,,249,,,7.00,,,777700,,,30,,,160,,,0.0840,,,0.140,,,0.4,0,,
01/02/2015,09:00,20,158,47,,,150,,,25,,,9362,,,25467,,,5339,,,4692,,,7,,,7,,,8.50,,,4.80,,,78,,,1012.81,,,273,,,7.00,,,777700,,,110,,,160,,,0.0840,,,0.140,,,0.3,0,,
01/02/2015,10:00,172,1415,126,,,345,,,55,,,17130,,,44754,,,8013,,,5809,,,7,,,7,,,9.10,,,4.90,,,75,,,1012.81,,,270,,,7.00,,,777700,,,500,,,160,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,11:00,283,1415,193,,,524,,,67,,,20999,,,55749,,,8545,,,5362,,,6,,,6,,,8.70,,,4.40,,,74,,,1012.81,,,280,,,6.80,,,777700,,,684,,,150,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,12:00,344,1415,200,,,559,,,63,,,19232,,,53354,,,7875,,,4633,,,6,,,6,,,8.40,,,4.00,,,74,,,1012.81,,,276,,,6.70,,,777700,,,77777,,,150,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,13:00,352,1415,159,,,478,,,56,,,13824,,,43775,,,6473,,,3926,,,6,,,6,,,8.00,,,3.50,,,73,,,1012.81,,,274,,,6.50,,,777700,,,77777,,,140,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,14:00,306,1415,98,,,373,,,41,,,7180,,,27450,,,3970,,,2654,,,6,,,6,,,7.60,,,3.00,,,73,,,1012.81,,,273,,,6.30,,,777700,,,780,,,130,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,15:00,209,1415,35,,,161,,,17,,,2023,,,8266,,,1297,,,924,,,6,,,6,,,7.30,,,2.60,,,72,,,1012.81,,,273,,,6.20,,,777700,,,799,,,130,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,16:00,69,1415,2,,,0,,,2,,,108,,,0,,,82,,,32,,,6,,,6,,,6.90,,,2.10,,,71,,,1012.81,,,270,,,6.00,,,777700,,,865,,,120,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,17:00,0,555,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,,6,,,6.70,,,1.90,,,72,,,1012.81,,,273,,,6.00,,,777700,,,846,,,120,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,18:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,,6,,,6.40,,,1.70,,,72,,,1012.8,,,273,,,6.00,,,777700,,,866,,,120,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,19:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,,6,,,6.20,,,1.50,,,72,,,1012.8,,,270,,,6.00,,,777700,,,848,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,20:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,6,,,6.00,,,1.40,,,72,,,1012.8,,,270,,,6.00,,,777700,,,866,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,21:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,,6,,,5.90,,,1.40,,,73,,,1012.8,,,268,,,6.00,,,777700,,,866,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,22:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,,6,,,5.70,,,1.30,,,73,,,1012.8,,,260,,,6.00,,,777700,,,866,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,23:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,7,,,5.10,,,1.50,,,78,,,1012.8,,,269,,,6.00,,,777700,,,866,,,120,,,0.0840,,,0.140,,,0.0,0,,
01/02/2015,24:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,8,,,8,,,4.50,,,1.70,,,82,,,1012.8,,,271,,,6.00,,,777700,,,781,,,120,,,0.0840,,,0.140,,,0.0,0,,
01/03/2015,01:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,6,,,6,,,5.20,,,0.90,,,74,,,1012.8,,,240,,,4.00,,,777700,,,695,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/03/2015,02:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,7,,,4.90,,,0.90,,,75,,,1012.8,,,259,,,4.00,,,777700,,,633,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/03/2015,03:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,7,,,4.50,,,0.90,,,77,,,1012.8,,,249,,,4.00,,,777700,,,619,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/03/2015,04:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,7,,,4.20,,,0.90,,,79,,,1012.8,,,220,,,4.00,,,777700,,,603,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/03/2015,05:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,7,,,4.30,,,1.00,,,79,,,1012.8,,,234,,,4.20,,,777700,,,1182,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/03/2015,06:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,7,,,4.30,,,1.10,,,79,,,1012.8,,,233,,,4.30,,,777700,,,599,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/03/2015,07:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,7,,,4.40,,,1.10,,,79,,,1012.8,,,227,,,4.50,,,777700,,,602,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/03/2015,08:00,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,7,,,7,,,4.50,,,1.20,,,79,,,1012.8,,,230,,,4.70,,,777700,,,680,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/03/2015,09:00,21,163,23,,,0,,,23,,,3537,,,0,,,3537,,,1428,,,7,,,7,,,4.50,,,1.30,,,80,,,1012.8,,,234,,,4.80,,,777700,,,693,,,110,,,0.0840,,,0.140,,,0.0,0,,
01/03/2015,10:00,173,1415,43,,,0,,,43,,,6980,,,116,,,6878,,,2643,,,7,,,7,,,4.60,,,1.40,,,80,,,1012.8,,,230,,,5.00,,,777700,,,817,,,110,,,0.0840,,,0.140,,,0.1,0,,
01/03/2015,11:00,284,1415,69,,,4,,,68,,,9075,,,644,,,8974,,,4150,,,8,,,8,,,4.40,,,2.00,,,84,,,1012.8,,,234,,,4.70,,,777700,,,1506,,,120,,,0.0840,,,0.140,,,0.2,0,,
01/03/2015,12:00,346,1415,78,,,11,,,75,,,7524,,,956,,,7524,,,4255,,,9,,,9,,,4.20,,,2.50,,,89,,,1012.8,,,230,,,4.30,,,777700,,,134,,,130,,,0.0840,,,0.140,,,0.2,0,,
01/03/2015,13:00,354,1415,55,,,9,,,53,,,4602,,,523,,,4602,,,2664,,,10,,,10,,,4.00,,,3.10,,,94,,,1012.8,,,230,,,4.00,,,777700,,,263,,,140,,,0.0840,,,0.140,,,0.2,0,,
01/03/2015,14:00,308,1415,26,,,2,,,26,,,1950,,,95,,,1950,,,1109,,,10,,,10,,,3.90,,,2.90,,,94,,,1012.8,,,222,,,3.70,,,777700,,,261,,,130,,,0.0840,,,0.140,,,0.3,0,,
