azimuth_pyproj_class360_5,elevation_pyproj
-180,87.71072690035236
-175,87.7776402303421
-170,86.89496166874045
-165,87.47230711118011
-160,87.51419214465447
-155,87.66006953183596
-150,87.81501237728968
-145,86.94790315191653
-140,86.06679120673417
-135,86.36788745104938
-130,87.56488712596283
-125,87.84745065713871
-120,88.45616753372684
-115,87.48293486284398
-110,87.40379687976755
-105,87.3559281055244
-100,88.75819733035574
-95,88.89018336783627
-90,89.4401681704791
-85,89.44246580450697
-80,89.11344249026594
-75,88.75726586871458
-70,87.6407433313118
-65,88.00616143355863
-60,88.03919762675993
-55,87.90768004323265
-50,87.64220124572839
-45,87.77849256848627
-40,87.63506722869539
-35,86.38961927496806
-30,86.20341810517262
-25,85.78734946949626
-20,86.65449595018416
-15,85.95276995528843
-10,85.78847624273723
-5,86.25517225749181
0,86.4740588971721
5,86.72575973168186
10,87.25422100007567
15,87.79050549549348
20,87.6676324926537
25,87.52888189611448
30,87.30791177704462
35,87.96821615132768
40,88.11635350193427
45,88.33659879409353
50,88.75972171881125
55,89.68188848989556
60,89.02887679715094
65,89.64340099160363
70,89.17586973463983
75,89.52194402809879
80,88.57068884176485
85,88.8863202241725
90,88.88207930749913
95,88.67675968079206
100,88.63797733642294
105,89.27603793621519
110,88.56378428572813
115,86.46451892977541
120,86.18849341514618
125,86.05577648197898
130,86.25281678749175
135,87.09432452321089
140,87.02963068831669
145,86.40827579155247
150,87.52874557017118
155,86.88447827941151
160,87.44369338725058
165,87.30040080589215
170,87.67970044438094
175,87.56970078553411
