azimuth_pyproj_class360_5,elevation_pyproj
-180,89.88101794889876
-175,89.87277136249891
-170,89.84826339662006
-165,89.83902634160845
-160,89.86048250130874
-155,89.85177777123397
-150,89.82931513126543
-145,89.84501658637134
-140,89.84890759364477
-135,89.88160162736453
-130,89.91427518619557
-125,89.96215265269328
-120,89.95431749966286
-115,89.94904765636365
-110,89.86640542046389
-105,89.81888067337403
-100,89.8385377207746
-95,89.8570215448813
-90,89.94472555181635
-85,89.86095112696799
-80,89.8062087345052
-75,89.8064085804481
-70,89.77678746363681
-65,89.7949913603596
-60,89.79295169646748
-55,89.80926290654823
-50,89.93794491375365
-45,89.9525334160915
-40,89.95224315388916
-35,89.9443471789883
-30,89.92003006743721
-25,89.92877441129802
-20,89.89319493649577
-15,89.87742854801044
-10,89.77554069857952
-5,89.76447050997778
0,89.70560605328201
5,89.64653086561583
10,89.64966998416911
15,89.73659533025074
20,89.78301480438203
25,89.90634471566156
30,89.8739960910293
35,89.86937555211104
40,89.91605078906596
45,89.94728865167922
50,89.89415975601503
55,89.8381301076816
60,89.8301593699749
65,89.79428794310532
70,89.80799819211757
75,89.88756198807286
80,89.87788319478051
85,89.90583762707425
90,89.90273431526387
95,89.95633931265681
100,89.90909540390369
105,89.93965654127639
110,89.90692799809418
115,89.86881779547885
120,89.89915505420679
125,89.82513645277743
130,89.78769176902682
135,89.85927646982616
140,89.87024001294742
145,89.9475180095089
150,89.94704660370022
155,89.90871556608685
160,89.89413822285036
165,89.85626791283808
170,89.8869835670329
175,89.8625109634102
