Date (MM/DD/YYYY),Time (HH:MM),ETR (W/m^2),ETRN (W/m^2),GHI (W/m^2),GHI source,GHI uncert (%),DNI (W/m^2),DNI source,DNI uncert (%),DHI (W/m^2),DHI source,DHI uncert (%),GH illum (lx),GH illum source,Global illum uncert (%),DN illum (lx),DN illum source,DN illum uncert (%),DH illum (lx),DH illum source,DH illum uncert (%),Zenith lum (cd/m^2),Zenith lum source,Zenith lum uncert (%),TotCld (tenths),TotCld source,TotCld uncert (code),OpqCld (tenths),OpqCld source,OpqCld uncert (code),Dry-bulb (C),Dry-bulb source,Dry-bulb uncert (code),Dew-point (C),Dew-point source,Dew-point uncert (code),RHum (%),RHum source,RHum uncert (code),Pressure (mbar),Pressure source,Pressure uncert (code),Wdir (degrees),Wdir source,Wdir uncert (code),Wspd (m/s),Wspd source,Wspd uncert (code),Hvis (m),Hvis source,Hvis uncert (code),CeilHgt (m),CeilHgt source,CeilHgt uncert (code),Pwat (cm),Pwat source,Pwat uncert (code),AOD (unitless),AOD source,AOD uncert (code),Alb (unitless),Alb source,Alb uncert (code),Lprecip depth (mm),Lprecip quantity (hr),Lprecip source,Lprecip uncert (code)
1/01/78,1:00,,,0,,,0,,,0,,,,,,,,,,,,,,,8,,,,,,21.9,,,17.8,,,78,,,923.77,,,17,,,0.5,,,,,,,,,,,,,,,,,,,,,
1/01/78,2:00,,,0,,,0,,,0,,,,,,,,,,,,,,,8,,,,,,21.8,,,17.8,,,79,,,923.24,,,45,,,0.6,,,,,,,,,,,,,,,,,,,,,
1/01/78,3:00,,,0,,,0,,,0,,,,,,,,,,,,,,,8,,,,,,21.5,,,17.9,,,81,,,922.74,,,26,,,0.3,,,,,,,,,,,,,,,,,,,,,
1/01/78,4:00,,,0,,,0,,,0,,,,,,,,,,,,,,,8,,,,,,21.4,,,17.8,,,81,,,922.59,,,349,,,0.5,,,,,,,,,,,,,,,,,,,,,
1/01/78,5:00,,,0,,,0,,,0,,,,,,,,,,,,,,,8,,,,,,21.2,,,17.8,,,81,,,922.67,,,9,,,0.5,,,,,,,,,,,,,,,,,,,,,
1/01/78,6:00,,,0,,,0,,,0,,,,,,,,,,,,,,,8,,,,,,21.1,,,17.8,,,82,,,922.99,,,354,,,0.2,,,,,,,,,,,,,,,,,,,,,
1/01/78,7:00,,,20.1,,,0,,,20.1,,,,,,,,,,,,,,,8,,,,,,21.5,,,17.7,,,79,,,923.33,,,12,,,0.6,,,,,,,,,,,,,,,,,,,,,
1/01/78,8:00,,,136.8,,,22.3345,,,129.184,,,,,,,,,,,,,,,8,,,,,,22.3,,,17.8,,,76,,,923.84,,,334,,,0.4,,,,,,,,,,,,,,,,,,,,,
1/01/78,9:00,,,316.8,,,113.578,,,254.583,,,,,,,,,,,,,,,8,,,,,,23.2,,,18,,,73,,,924.15,,,333,,,1.3,,,,,,,,,,,,,,,,,,,,,
1/01/78,10:00,,,502.1,,,126.974,,,409.676,,,,,,,,,,,,,,,8,,,,,,24.2,,,18.2,,,70,,,924.3,,,333,,,1.3,,,,,,,,,,,,,,,,,,,,,
1/01/78,11:00,,,611.7,,,145.086,,,485.615,,,,,,,,,,,,,,,8,,,,,,25,,,18,,,66,,,924.32,,,312,,,1.8,,,,,,,,,,,,,,,,,,,,,
1/01/78,12:00,,,638.7,,,162.4,,,482.537,,,,,,,,,,,,,,,8,,,,,,26.2,,,18.1,,,63,,,924.03,,,316,,,1.8,,,,,,,,,,,,,,,,,,,,,
1/01/78,13:00,,,800.5,,,299.152,,,501.569,,,,,,,,,,,,,,,8,,,,,,27,,,17.4,,,57,,,923.63,,,292,,,1.9,,,,,,,,,,,,,,,,,,,,,
1/01/78,14:00,,,670.4,,,180.394,,,493.709,,,,,,,,,,,,,,,8,,,,,,27.4,,,17.2,,,56,,,923.01,,,313,,,1.7,,,,,,,,,,,,,,,,,,,,,
1/01/78,15:00,,,620.9,,,111.624,,,520.038,,,,,,,,,,,,,,,8,,,,,,27.9,,,17,,,54,,,922.41,,,298,,,1.5,,,,,,,,,,,,,,,,,,,,,
1/01/78,16:00,,,523.2,,,188.322,,,376.921,,,,,,,,,,,,,,,8,,,,,,26.6,,,17.5,,,61,,,921.91,,,288,,,1.9,,,,,,,,,,,,,,,,,,,,,
1/01/78,17:00,,,315.6,,,55.4275,,,281.921,,,,,,,,,,,,,,,8,,,,,,24.9,,,17.7,,,67,,,921.9,,,266,,,0.7,,,,,,,,,,,,,,,,,,,,,
1/01/78,18:00,,,168.4,,,28.0088,,,156.98,,,,,,,,,,,,,,,8,,,,,,24.5,,,17.8,,,69,,,921.97,,,51,,,0.2,,,,,,,,,,,,,,,,,,,,,
1/01/78,19:00,,,60.3,,,0,,,60.3,,,,,,,,,,,,,,,8,,,,,,23.2,,,17.9,,,74,,,922.71,,,235,,,0.6,,,,,,,,,,,,,,,,,,,,,
1/01/78,20:00,,,16.2,,,0,,,16.2,,,,,,,,,,,,,,,8,,,,,,22.4,,,18.2,,,78,,,923.19,,,164,,,0.3,,,,,,,,,,,,,,,,,,,,,
1/01/78,21:00,,,0,,,0,,,0,,,,,,,,,,,,,,,8,,,,,,22.3,,,18.3,,,79,,,923.6,,,54,,,0.3,,,,,,,,,,,,,,,,,,,,,
1/01/78,22:00,,,0.1,,,0,,,0.1,,,,,,,,,,,,,,,8,,,,,,22,,,18.5,,,81,,,924.22,,,81,,,0.5,,,,,,,,,,,,,,,,,,,,,
1/01/78,23:00,,,0,,,0,,,0,,,,,,,,,,,,,,,8,,,,,,21.7,,,18.4,,,82,,,924.41,,,103,,,0.3,,,,,,,,,,,,,,,,,,,,,
1/01/78,24:00:00,,,0.2,,,0,,,0.2,,,,,,,,,,,,,,,8,,,,,,21.5,,,18.3,,,83,,,924.24,,,146,,,0.2,,,,,,,,,,,,,,,,,,,,,
2/01/78,1:00,,,0.5,,,0,,,0.5,,,,,,,,,,,,,,,8,,,,,,21.4,,,18.4,,,84,,,923.67,,,88,,,0.4,,,,,,,,,,,,,,,,,,,,,
