,global,direct,diffuse,directDuration,resolution,doy
0,72.04167,0.0,72.04167,0.0,05m,1
1,73.544205,0.0,73.544205,0.0,05m,2
2,75.18338,0.0,75.18338,0.0,05m,3
3,76.963974,0.0,76.963974,0.0,05m,4
4,78.89136,0.0,78.89136,0.0,05m,5
5,80.971634,0.0,80.971634,0.0,05m,6
6,83.18612,0.0,83.18612,0.0,05m,7
7,85.55063,0.0,85.55063,0.0,05m,8
8,88.080574,0.0,88.080574,0.0,05m,9
9,90.02773,0.0,90.02773,0.0,05m,10
10,92.85256,0.0,92.85256,0.0,05m,11
11,158.63916,62.788902,95.85025,5.25,05m,12
12,166.06467,67.03668,99.02799,6.0,05m,13
13,172.57333,70.18901,102.38432,6.25,05m,14
14,212.16074,106.297516,105.86321,6.0,05m,15
15,220.71466,111.187515,109.527145,7.0833335,05m,16
16,229.65892,116.275635,113.383286,7.3333335,05m,17
17,202.3884,84.94812,117.440285,6.3333335,05m,18
18,210.97629,89.26925,121.70704,6.6666665,05m,19
19,259.67142,133.50073,126.17068,7.0,05m,20
20,270.66113,139.89455,130.76657,7.8333335,05m,21
21,239.40134,103.82407,135.57727,6.5,05m,22
22,249.8838,109.27231,140.6115,6.6666665,05m,23
23,307.25848,161.37799,145.88048,7.75,05m,24
24,319.48605,168.84694,150.63911,7.8333335,05m,25
25,283.32776,127.06501,156.26274,6.6666665,05m,26
26,295.92667,133.82436,162.10231,7.0,05m,27
27,363.34482,195.1816,168.16321,8.0,05m,28
28,379.32816,204.87296,174.45518,8.0,05m,29
29,337.31927,156.36441,180.95486,7.1875,05m,30
30,413.29208,225.65799,187.6341,8.0,05m,31
31,431.3366,236.79086,194.54575,8.25,05m,32
32,384.17752,182.49356,201.68394,7.1666665,05m,33
33,401.13162,192.08206,209.04958,7.3125,05m,34
34,489.9109,273.32425,216.58665,8.166667,05m,35
35,436.9501,212.58382,224.36629,7.5,05m,36
36,455.92593,223.56023,232.36569,7.6,05m,37
37,554.17365,314.31647,239.85715,8.6,05m,38
38,494.7087,246.44827,248.26044,7.8,05m,39
39,515.7534,258.88312,256.8703,7.875,05m,40
40,626.6097,360.95392,265.65573,8.666667,05m,41
41,559.9543,285.2912,274.66306,8.0,05m,42
42,679.0028,395.10184,283.90094,9.0,05m,43
43,706.38495,413.0958,293.28915,9.0,05m,44
44,631.7979,328.93805,302.8599,8.25,05m,45
45,763.6499,450.99432,312.65558,9.25,05m,46
46,793.5793,470.92825,322.65106,9.1875,05m,47
47,710.3584,377.59625,332.76215,8.25,05m,48
48,855.7887,512.6949,343.0938,9.25,05m,49
49,888.27,534.61206,353.65796,9.5,05m,50
50,920.2049,556.6258,363.57907,9.25,05m,51
51,954.19025,579.79834,374.3919,9.75,05m,52
52,855.1044,469.71512,385.38925,8.75,05m,53
53,1024.6521,628.13995,396.51212,9.785714,05m,54
54,1061.0756,653.2953,407.78018,9.9,05m,55
55,1098.3479,679.12646,419.22147,10.0,05m,56
56,1136.3966,705.6076,430.789,10.125,05m,57
57,1019.4148,576.9678,442.44702,9.125,05m,58
58,1214.7625,760.49835,454.2641,10.25,05m,59
59,1090.2332,624.01135,466.22183,9.375,05m,60
60,1296.2037,817.966,478.23773,10.3125,05m,61
61,1338.0526,847.655,490.39758,10.333333,05m,62
62,1200.3856,698.40515,501.98044,9.3,05m,63
63,1422.7139,908.3866,514.3273,10.35,05m,64
64,1277.8528,751.1055,526.7472,9.4375,05m,65
65,1511.2504,971.9773,539.27313,10.4375,05m,66
66,1357.9158,806.02765,551.88806,9.714286,05m,67
67,1602.4479,1037.9064,564.54144,10.857142,05m,68
68,1649.0094,1071.7218,577.28754,11.15,05m,69
69,1696.2191,1106.0989,590.1203,11.178572,05m,70
70,1743.9089,1140.97,602.9389,11.25,05m,71
71,1568.304,952.4703,615.8337,10.375,05m,72
72,1841.1185,1212.3073,628.8112,11.375,05m,73
73,1656.2415,1014.48334,641.75806,10.375,05m,74
74,1940.3193,1285.5488,654.7705,11.375,05m,75
75,1868.5741,1200.7122,667.86194,10.875,05m,76
76,2040.3162,1360.1334,680.1827,11.375,05m,77
77,2091.5288,1398.2836,693.2453,11.4,05m,78
78,2143.1401,1436.8306,706.30963,11.4,05m,79
79,2195.1738,1475.7706,719.4031,11.375,05m,80
80,2247.5588,1515.0717,732.4873,11.833333,05m,81
81,2300.2554,1554.7063,745.5491,11.875,05m,82
82,2072.2266,1313.598,758.6285,11.25,05m,83
83,2406.6484,1634.9583,771.6902,12.25,05m,84
84,2168.6812,1383.997,784.6841,11.25,05m,85
85,2513.9866,1716.3032,797.6832,12.25,05m,86
86,2568.0308,1757.3652,810.6656,12.25,05m,87
87,2622.1748,1798.6118,823.5629,12.333333,05m,88
88,2676.5408,1840.0806,836.46027,12.416667,05m,89
89,2729.8538,1881.24,848.6139,12.375,05m,90
90,2784.399,1923.0043,861.3947,12.416667,05m,91
91,2511.6262,1637.4952,874.1309,11.4375,05m,92
92,2893.6897,2006.9021,886.7876,12.416667,05m,93
93,2610.96,1711.5585,899.4015,11.45,05m,94
94,3003.1414,2091.1677,911.97345,12.375,05m,95
95,3057.7825,2133.3586,924.4239,12.857142,05m,96
96,3112.4082,2175.5823,936.82605,13.125,05m,97
97,3167.0076,2217.8242,949.1833,13.25,05m,98
98,2859.5334,1898.1326,961.4008,12.166667,05m,99
99,3275.6929,2302.1538,973.539,13.25,05m,100
100,2958.5034,1972.8889,985.6145,12.25,05m,101
101,3383.8289,2386.2437,997.5851,13.166667,05m,102
