,global,direct,diffuse,directDuration,resolution,doy
0,72.09271,0.0,72.09271,0.0,1m,1
1,73.596306,0.0,73.596306,0.0,1m,2
2,75.23665,0.0,75.23665,0.0,1m,3
3,77.0185,0.0,77.0185,0.0,1m,4
4,78.94725,0.0,78.94725,0.0,1m,5
5,81.029,0.0,81.029,0.0,1m,6
6,83.245056,0.0,83.245056,0.0,1m,7
7,85.61124,0.0,85.61124,0.0,1m,8
8,88.142975,0.0,88.142975,0.0,1m,9
9,90.091515,0.0,90.091515,0.0,1m,10
10,92.91835,0.0,92.91835,0.0,1m,11
11,156.66493,60.74678,95.91816,5.5,1m,12
12,163.95523,64.857086,99.098145,6.0,1m,13
13,170.38902,67.93216,102.45686,6.3333335,1m,14
14,208.95988,103.021675,105.93822,6.0,1m,15
15,217.40135,107.7966,109.604744,7.1666665,1m,16
16,226.23506,112.77145,113.46361,7.3333335,1m,17
17,199.869,82.34551,117.52348,6.6666665,1m,18
18,208.36197,86.5687,121.79327,6.8333335,1m,19
19,255.88411,129.62404,126.26007,7.0,1m,20
20,266.74402,135.88483,130.8592,8.0,1m,21
21,236.47964,100.80633,135.67332,6.6666665,1m,22
22,246.85054,106.13943,140.7111,6.6666665,1m,23
23,302.91928,156.93546,145.98383,8.0,1m,24
24,315.0132,164.26736,150.74583,8.0,1m,25
25,279.95462,123.58118,156.37346,7.0,1m,26
26,292.42227,130.20512,162.21715,7.125,1m,27
27,358.38998,190.10764,168.28235,8.0,1m,28
28,374.20258,199.6238,174.57878,8.0,1m,29
29,333.40347,152.3204,181.08305,7.25,1m,30
30,407.81195,220.0449,187.76703,8.25,1m,31
31,425.67224,230.98868,194.68358,8.375,1m,32
32,379.814,177.98715,201.82683,7.1666665,1m,33
33,396.61026,187.41258,209.19768,7.375,1m,34
34,483.66727,266.9272,216.7401,8.333333,1m,35
35,432.10284,207.57762,224.52524,7.5,1m,36
36,450.9097,218.37938,232.53032,7.6,1m,37
37,547.32935,307.30225,240.02708,8.8,1m,38
38,489.3602,240.92387,248.43631,7.8,1m,39
39,510.2266,253.1743,257.05228,8.0,1m,40
40,619.1193,353.2754,265.84393,8.833333,1m,41
41,554.06134,279.2037,274.85764,8.0,1m,42
42,671.06464,386.9626,284.10208,9.125,1m,43
43,698.22015,404.7232,293.49695,9.0,1m,44
44,625.3363,322.26187,303.07446,8.3125,1m,45
45,755.02496,442.1479,312.87708,9.25,1m,46
46,784.72107,461.84137,322.87967,9.3125,1m,47
47,703.309,370.31116,332.9979,8.25,1m,48
48,846.4611,503.12427,343.33688,9.35,1m,49
49,878.7049,524.7964,353.9085,9.5,1m,50
50,910.4159,546.5792,363.83667,9.3,1m,51
51,944.16394,569.5068,374.65714,9.75,1m,52
52,847.0618,461.39954,385.66226,8.75,1m,53
53,1014.151,617.358,396.79303,9.928572,1m,54
54,1050.3374,642.2683,408.0691,9.9,1m,55
55,1087.3733,667.85486,419.51846,10.0,1m,56
56,1125.1868,694.0925,431.09418,10.125,1m,57
57,1010.3613,567.6008,442.76047,9.25,1m,58
58,1203.0868,748.5009,454.58594,10.25,1m,59
59,1080.78,614.2279,466.55212,9.5,1m,60
60,1284.0697,805.49316,478.57654,10.375,1m,61
61,1325.6926,834.94763,490.745,10.333333,1m,62
62,1190.3549,688.01886,502.33606,9.35,1m,63
63,1409.9198,895.2282,514.69165,10.4,1m,64
64,1267.4417,740.3213,527.1204,9.4375,1m,65
65,1498.0261,958.3709,539.65515,10.4375,1m,66
66,1347.1346,794.85565,552.27905,9.785714,1m,67
67,1588.808,1023.8666,564.9414,10.857142,1m,68
68,1635.1677,1057.4712,577.69653,11.15,1m,69
69,1682.1799,1091.6415,590.5384,11.178572,1m,70
70,1729.6772,1126.3112,603.366,11.25,1m,71
71,1556.6571,940.38715,616.27,10.375,1m,72
72,1826.5159,1197.2592,629.2567,11.375,1m,73
73,1644.276,1002.06323,642.2127,10.375,1m,74
74,1925.3671,1270.1327,655.2344,11.375,1m,75
75,1854.7992,1186.4641,668.3351,10.875,1m,76
76,2025.0419,1344.3773,680.66455,11.375,1m,77
77,2076.0996,1382.363,693.73645,11.4,1m,78
78,2127.5618,1420.7517,706.81,11.4,1m,79
79,2179.4521,1459.5396,719.9128,11.458333,1m,80
80,2231.7004,1498.6942,733.0062,11.833333,1m,81
81,2284.2666,1538.1895,746.0773,12.0,1m,82
82,2059.0732,1299.9072,759.16595,11.25,1m,83
83,2390.4177,1618.1808,772.2369,12.375,1m,84
84,2155.3218,1370.0818,785.24,11.375,1m,85
85,2497.5405,1699.2922,798.24835,12.375,1m,86
86,2551.4873,1740.2473,811.2399,12.25,1m,87
87,2605.5403,1781.3939,824.1464,12.333333,1m,88
88,2659.8223,1822.7695,837.05286,12.416667,1m,89
89,2713.06,1863.845,849.2151,12.375,1m,90
90,2767.5347,1905.5298,862.005,12.416667,1m,91
91,2497.7332,1622.983,874.7502,11.4375,1m,92
92,2876.7048,1989.2888,887.41583,12.416667,1m,93
93,2596.9678,1696.9291,900.03864,11.45,1m,94
94,2986.0625,2073.443,912.6195,12.416667,1m,95
95,3040.667,2115.5881,925.0788,12.857142,1m,96
96,3095.2625,2157.7727,937.48975,13.125,1m,97
97,3149.8381,2199.9822,949.8558,13.25,1m,98
98,2845.3962,1883.3143,962.0819,12.166667,1m,99
99,3258.495,2284.2664,974.2287,13.375,1m,100
100,2944.3489,1958.0361,986.3128,12.25,1m,101
101,3366.6282,2368.3364,998.2918,13.25,1m,102
102,3420.358,2410.2046,1010.1533,13.375,1m,103
103,3091.7388,2069.7922,1021.94635,12.333333,1m,104
104,3526.0327,2493.0962,1032.9365,13.333333,1m,105
105,3187.8499,2143.3513,1044.4984,12.35,1m,106
106,3529.11,2473.1458,1055.9642,12.35,1m,107
107,3684.0461,2616.755,1067.2913,13.5,1m,108
108,3331.8367,2253.3198,1078.5168,12.375,1m,109
109,3787.73,2698.087,1089.6431,13.6,1m,110
110,3426.354,2325.7207,1100.6333,13.0,1m,111
111,3889.815,2778.3271,1111.4878,13.75,1m,112
