,global,direct,diffuse,reflectance,resolution,doy
0,1024.62,730.8084,293.8092,0.00236836,05m,1
1,1034.4021,738.98303,295.41663,0.002390968,05m,2
2,1045.0718,747.9109,297.1585,0.0024156282,05m,3
3,1056.6304,757.5954,299.03253,0.0024423443,05m,4
4,1069.079,768.0402,301.0363,0.0024711192,05m,5
5,1082.4186,779.24884,303.16718,0.002501955,05m,6
6,1096.6497,791.2247,305.42245,0.002534854,05m,7
7,1112.447,805.59875,306.84576,0.002572793,05m,8
8,1128.661,819.3667,309.29166,0.0026103666,05m,9
9,1145.7867,833.93555,311.84857,0.0026500584,05m,10
10,1163.8252,849.3096,314.51297,0.0026918708,05m,11
11,1182.7767,865.4927,317.2813,0.002735806,05m,12
12,1202.6412,882.4886,320.14987,0.0027818633,05m,13
13,1223.4219,900.30646,323.11264,0.002830055,05m,14
14,1245.1249,918.95966,326.16235,0.0028804012,05m,15
15,1267.7332,938.4262,329.30405,0.0029328484,05m,16
16,1291.2438,958.70734,332.53336,0.0029873908,05m,17
17,1315.6531,979.8042,335.84586,0.0030440215,05m,18
18,1349.7489,1001.71716,348.0286,0.0031027321,05m,19
19,1376.2742,1024.446,351.8249,0.0031635126,05m,20
20,1407.4902,1054.0062,353.48068,0.0032421574,05m,21
21,1436.3491,1079.0403,357.30548,0.0033086457,05m,22
22,1466.1333,1104.9331,361.19684,0.0033772741,05m,23
23,1496.8368,1131.6833,365.15005,0.0034480302,05m,24
24,1528.4525,1159.2885,369.16052,0.003520898,05m,25
25,1572.8658,1187.7445,385.11777,0.0036229596,05m,26
26,1606.975,1217.0463,389.92496,0.0037015765,05m,27
27,1641.9794,1247.1874,394.78827,0.0037822665,05m,28
28,1677.8666,1278.1597,399.703,0.0038650006,05m,29
29,1714.6229,1309.9543,404.66467,0.003949747,05m,30
30,1753.7102,1345.1516,408.55447,0.00404138,05m,31
31,1701.1995,1207.0494,494.14606,0.0039178487,05m,32
32,1739.3992,1238.943,500.45212,0.0040062186,05m,33
33,1779.4482,1273.957,505.48712,0.004103148,05m,34
34,1827.9341,1307.9778,519.9522,0.0041966722,05m,35
