ArcGIS Pro,CitySim,GRASS GIS,Ladybug,SAGA GIS,SimStadt,Weather data,doy,month,diff_ArcGIS Pro,diff_p_ArcGIS Pro,diff_CitySim,diff_p_CitySim,diff_GRASS GIS,diff_p_GRASS GIS,diff_Ladybug,diff_p_Ladybug,diff_SAGA GIS,diff_p_SAGA GIS,diff_SimStadt,diff_p_SimStadt
0.07,0.35,1.02,0.37,3.17,0.33,0.46,1,1,0.39,-0.84,0.11,-0.24,0.56,1.21,0.09,-0.2,2.71,5.83,0.13,-0.29
0.07,0.37,1.03,0.39,3.19,0.34,0.51,2,1,0.44,-0.86,0.14,-0.28,0.52,1.03,0.12,-0.24,2.68,5.25,0.17,-0.34
0.08,0.32,1.05,0.34,3.21,0.3,0.45,3,1,0.37,-0.83,0.12,-0.28,0.6,1.35,0.11,-0.24,2.76,6.2,0.15,-0.34
0.08,0.28,1.06,0.34,3.38,0.26,0.43,4,1,0.35,-0.82,0.15,-0.34,0.63,1.47,0.09,-0.21,2.95,6.9,0.17,-0.39
0.08,0.35,1.07,0.37,3.4,0.31,0.51,5,1,0.43,-0.84,0.16,-0.32,0.56,1.11,0.14,-0.28,2.89,5.7,0.19,-0.38
0.08,0.41,1.08,0.43,3.42,0.37,0.6,6,1,0.51,-0.86,0.19,-0.32,0.49,0.82,0.16,-0.27,2.83,4.75,0.22,-0.38
0.08,0.3,1.1,0.37,3.44,0.28,0.47,7,1,0.38,-0.82,0.16,-0.35,0.63,1.35,0.1,-0.21,2.98,6.4,0.19,-0.4
0.09,0.32,1.11,0.39,3.47,0.3,0.48,8,1,0.39,-0.82,0.16,-0.33,0.63,1.32,0.09,-0.19,2.99,6.25,0.18,-0.37
0.09,0.42,1.13,0.44,3.5,0.37,0.62,9,1,0.53,-0.86,0.21,-0.33,0.51,0.82,0.18,-0.29,2.88,4.63,0.25,-0.4
0.09,0.46,1.15,0.49,3.53,0.41,0.69,10,1,0.6,-0.87,0.24,-0.34,0.45,0.65,0.21,-0.3,2.83,4.08,0.28,-0.41
0.09,0.38,1.16,0.41,3.56,0.34,0.57,11,1,0.48,-0.84,0.19,-0.34,0.59,1.03,0.16,-0.29,2.99,5.22,0.23,-0.41
0.16,0.34,1.18,0.41,3.59,0.36,0.51,12,1,0.35,-0.69,0.17,-0.34,0.67,1.31,0.1,-0.2,3.08,6.0,0.15,-0.3
0.17,0.43,1.2,0.46,3.62,0.34,0.59,13,1,0.43,-0.72,0.17,-0.28,0.61,1.02,0.14,-0.23,3.02,5.09,0.25,-0.42
0.17,0.41,1.22,0.44,3.65,0.38,0.57,14,1,0.4,-0.7,0.16,-0.28,0.65,1.15,0.13,-0.23,3.08,5.42,0.19,-0.34
0.21,0.39,1.25,0.42,3.69,0.35,0.59,15,1,0.38,-0.64,0.2,-0.34,0.66,1.12,0.17,-0.28,3.1,5.26,0.24,-0.4
0.22,0.46,1.27,0.5,3.88,0.41,0.7,16,1,0.48,-0.68,0.24,-0.34,0.57,0.81,0.2,-0.29,3.18,4.55,0.29,-0.41
0.23,0.43,1.29,0.47,3.92,0.39,0.64,17,1,0.41,-0.64,0.21,-0.32,0.65,1.02,0.17,-0.27,3.28,5.14,0.25,-0.39
0.2,0.42,1.32,0.45,3.96,0.38,0.59,18,1,0.39,-0.66,0.17,-0.29,0.73,1.23,0.14,-0.23,3.37,5.71,0.21,-0.35
0.21,0.4,1.35,0.43,4.0,0.36,0.57,19,1,0.36,-0.63,0.18,-0.31,0.78,1.35,0.15,-0.26,3.42,5.96,0.21,-0.37
0.26,0.44,1.38,0.48,4.04,0.41,0.62,20,1,0.36,-0.58,0.18,-0.29,0.75,1.21,0.15,-0.23,3.42,5.5,0.21,-0.34
0.27,0.5,1.41,0.54,4.24,0.45,0.73,21,1,0.46,-0.63,0.23,-0.32,0.68,0.92,0.19,-0.26,3.51,4.79,0.28,-0.38
0.24,0.47,1.44,0.5,4.28,0.43,0.64,22,1,0.4,-0.62,0.17,-0.27,0.8,1.26,0.13,-0.21,3.65,5.74,0.2,-0.32
