GroundSurface,WallSurface_UUID_0aaf7b44-4fab-42b0-aaa7-380113caeea0,WallSurface_UUID_2ae98dca-a3b6-4890-a768-3bde754de4cb,WallSurface_UUID_1642fc1e-bbb4-49e9-b47d-881a3cf30be4,WallSurface_UUID_6e4f3933-7da7-446f-b8c2-6627879112b9,RoofSurface,doy
369.572,492.761,492.761,492.761,492.761,369.572,1
385.85200000000003,514.47,514.47,514.47,514.47,385.85200000000003,2
339.486,452.646,452.646,452.646,452.646,339.486,3
338.835,451.778,451.778,451.778,451.778,338.835,4
367.705,490.27299999999997,490.27299999999997,490.27299999999997,490.27299999999997,367.705,5
432.684,576.9100000000001,576.9100000000001,576.9100000000001,576.9100000000001,432.684,6
370.116,493.488,493.488,493.488,493.488,370.116,7
388.152,517.538,517.538,517.538,517.538,388.152,8
440.238,586.985,586.985,586.985,586.985,440.238,9
488.593,651.454,651.454,651.454,651.454,488.593,10
407.39300000000003,543.191,543.191,543.191,543.191,407.39300000000003,11
411.036,548.046,548.046,548.046,548.046,411.036,12
457.048,609.3969999999999,609.3969999999999,609.3969999999999,609.3969999999999,457.048,13
438.26899999999995,584.3589999999999,584.3589999999999,584.3589999999999,584.3589999999999,438.26899999999995,14
421.85200000000003,562.468,562.468,562.468,562.468,421.85200000000003,15
496.296,661.7239999999999,661.7239999999999,661.7239999999999,661.7239999999999,496.296,16
469.066,625.417,625.417,625.417,625.417,469.066,17
453.754,605.002,605.002,605.002,605.002,453.754,18
426.952,569.27,569.27,569.27,569.27,426.952,19
476.04999999999995,634.732,634.732,634.732,634.732,476.04999999999995,20
539.1080000000001,718.8059999999999,718.8059999999999,718.8059999999999,718.8059999999999,539.1080000000001,21
502.228,669.635,669.635,669.635,669.635,502.228,22
490.49199999999996,653.989,653.989,653.989,653.989,490.49199999999996,23
505.434,673.9079999999999,673.9079999999999,673.9079999999999,673.9079999999999,505.434,24
593.4889999999999,791.317,791.317,791.317,791.317,593.4889999999999,25
565.8649999999999,754.485,754.485,754.485,754.485,565.8649999999999,26
553.994,738.657,738.657,738.657,738.657,553.994,27
574.638,766.188,766.188,766.188,766.188,574.638,28
580.8290000000001,774.4380000000001,774.4380000000001,774.4380000000001,774.4380000000001,580.8290000000001,29
675.15,900.197,900.197,900.197,900.197,675.15,30
657.0169999999999,876.023,876.023,876.023,876.023,657.0169999999999,31
570.639,760.8499999999999,760.8499999999999,760.8499999999999,760.8499999999999,570.639,32
608.511,811.344,811.344,811.344,811.344,608.511,33
735.153,980.201,980.201,980.201,980.201,735.153,34
615.3389999999999,820.449,820.449,820.449,820.449,615.3389999999999,35
715.862,954.4789999999999,954.4789999999999,954.4789999999999,954.4789999999999,715.862,36
698.502,931.333,931.333,931.333,931.333,698.502,37
771.293,1028.3899999999999,1028.3899999999999,1028.3899999999999,1028.3899999999999,771.293,38
818.898,1091.8619999999999,1091.8619999999999,1091.8619999999999,1091.8619999999999,818.898,39
782.266,1043.019,1043.019,1043.019,1043.019,782.266,40
780.167,1040.219,1040.219,1040.219,1040.219,780.167,41
840.8090000000001,1121.078,1121.078,1121.078,1121.078,840.8090000000001,42
849.705,1132.94,1132.94,1132.94,1132.94,849.705,43
939.708,1252.942,1252.942,1252.942,1252.942,939.708,44
966.776,1289.031,1289.031,1289.031,1289.031,966.776,45
953.995,1271.99,1271.99,1271.99,1271.99,953.995,46
1030.789,1374.382,1374.382,1374.382,1374.382,1030.789,47
1048.691,1398.2559999999999,1398.2559999999999,1398.2559999999999,1398.2559999999999,1048.691,48
1011.836,1349.113,1349.113,1349.113,1349.113,1011.836,49
1011.8929999999999,1349.189,1349.189,1349.189,1349.189,1011.8929999999999,50
1098.7689999999998,1465.0240000000001,1465.0240000000001,1465.0240000000001,1465.0240000000001,1098.7689999999998,51
989.629,1319.502,1319.502,1319.502,1319.502,989.629,52
1021.8009999999999,1362.397,1362.397,1362.397,1362.397,1021.8009999999999,53
1239.1499999999999,1652.1950000000002,1652.1950000000002,1652.1950000000002,1652.1950000000002,1239.1499999999999,54
1110.775,1481.0330000000001,1481.0330000000001,1481.0330000000001,1481.0330000000001,1110.775,55
1189.006,1585.342,1585.342,1585.342,1585.342,1189.006,56
1166.45,1555.266,1555.266,1555.266,1555.266,1166.45,57
1249.181,1665.5729999999999,1665.5729999999999,1665.5729999999999,1665.5729999999999,1249.181,58
1307.5079999999998,1743.343,1743.343,1743.343,1743.343,1307.5079999999998,59
1209.335,1612.444,1612.444,1612.444,1612.444,1209.335,60
1377.9060000000002,1837.2069999999999,1837.2069999999999,1837.2069999999999,1837.2069999999999,1377.9060000000002,61
1337.54,1783.3860000000002,1783.3860000000002,1783.3860000000002,1783.3860000000002,1337.54,62
1473.3799999999999,1964.502,1964.502,1964.502,1964.502,1473.3799999999999,63
1542.668,2056.889,2056.889,2056.889,2056.889,1542.668,64
1368.025,1824.032,1824.032,1824.032,1824.032,1368.025,65
1491.5829999999999,1988.7749999999999,1988.7749999999999,1988.7749999999999,1988.7749999999999,1491.5829999999999,66
1473.702,1964.9319999999998,1964.9319999999998,1964.9319999999998,1964.9319999999998,1473.702,67
1418.4859999999999,1891.3149999999998,1891.3149999999998,1891.3149999999998,1891.3149999999998,1418.4859999999999,68
1474.241,1965.6529999999998,1965.6529999999998,1965.6529999999998,1965.6529999999998,1474.241,69
1650.2620000000002,2200.35,2200.35,2200.35,2200.35,1650.2620000000002,70
1792.7549999999999,2390.339,2390.339,2390.339,2390.339,1792.7549999999999,71
1679.338,2239.115,2239.115,2239.115,2239.115,1679.338,72
1733.453,2311.27,2311.27,2311.27,2311.27,1733.453,73
1682.886,2243.846,2243.846,2243.846,2243.846,1682.886,74
1673.425,2231.232,2231.232,2231.232,2231.232,1673.425,75
1684.1460000000002,2245.525,2245.525,2245.525,2245.525,1684.1460000000002,76
1670.031,2226.7070000000003,2226.7070000000003,2226.7070000000003,2226.7070000000003,1670.031,77
1949.551,2599.3979999999997,2599.3979999999997,2599.3979999999997,2599.3979999999997,1949.551,78
1870.142,2493.523,2493.523,2493.523,2493.523,1870.142,79
2030.0669999999998,2706.756,2706.756,2706.756,2706.756,2030.0669999999998,80
2044.0179999999998,2725.355,2725.355,2725.355,2725.355,2044.0179999999998,81
2121.158,2828.207,2828.207,2828.207,2828.207,2121.158,82
2243.207,2990.939,2990.939,2990.939,2990.939,2243.207,83
2254.553,3006.071,3006.071,3006.071,3006.071,2254.553,84
2225.6459999999997,2967.5249999999996,2967.5249999999996,2967.5249999999996,2967.5249999999996,2225.6459999999997,85
2568.339,3424.452,3424.452,3424.452,3424.452,2568.339,86
2098.1130000000003,2797.483,2797.483,2797.483,2797.483,2098.1130000000003,87
2349.3779999999997,3132.5,3132.5,3132.5,3132.5,2349.3779999999997,88
2546.084,3394.7780000000002,3394.7780000000002,3394.7780000000002,3394.7780000000002,2546.084,89
2477.127,3302.835,3302.835,3302.835,3302.835,2477.127,90
2521.6929999999998,3362.254,3362.254,3362.254,3362.254,2521.6929999999998,91
2757.959,3677.2780000000002,3677.2780000000002,3677.2780000000002,3677.2780000000002,2757.959,92
2631.088,3508.1160000000004,3508.1160000000004,3508.1160000000004,3508.1160000000004,2631.088,93
2250.054,3000.0719999999997,3000.0719999999997,3000.0719999999997,3000.0719999999997,2250.054,94
2506.998,3342.662,3342.662,3342.662,3342.662,2506.998,95
2653.656,3538.2039999999997,3538.2039999999997,3538.2039999999997,3538.2039999999997,2653.656,96
2986.7650000000003,3982.351,3982.351,3982.351,3982.351,2986.7650000000003,97
2855.5299999999997,3807.372,3807.372,3807.372,3807.372,2855.5299999999997,98
2870.746,3827.658,3827.658,3827.658,3827.658,2870.746,99
2735.992,3647.988,3647.988,3647.988,3647.988,2735.992,100
2826.748,3768.9939999999997,3768.9939999999997,3768.9939999999997,3768.9939999999997,2826.748,101
3012.185,4016.242,4016.242,4016.242,4016.242,3012.185,102
3030.091,4040.12,4040.12,4040.12,4040.12,3030.091,103
3147.382,4196.5070000000005,4196.5070000000005,4196.5070000000005,4196.5070000000005,3147.382,104
3029.607,4039.474,4039.474,4039.474,4039.474,3029.607,105
3399.619,4532.822,4532.822,4532.822,4532.822,3399.619,106
3446.77,4595.692,4595.692,4595.692,4595.692,3446.77,107
3426.2619999999997,4568.348,4568.348,4568.348,4568.348,3426.2619999999997,108
3602.1510000000003,4802.865,4802.865,4802.865,4802.865,3602.1510000000003,109
3705.963,4941.283,4941.283,4941.283,4941.283,3705.963,110
3864.96,5153.2789999999995,5153.2789999999995,5153.2789999999995,5153.2789999999995,3864.96,111
3805.088,5073.447,5073.447,5073.447,5073.447,3805.088,112
3783.785,5045.045,5045.045,5045.045,5045.045,3783.785,113
3745.993,4994.657,4994.657,4994.657,4994.657,3745.993,114
3429.5260000000003,4572.7,4572.7,4572.7,4572.7,3429.5260000000003,115
3149.935,4199.912,4199.912,4199.912,4199.912,3149.935,116
3533.989,4711.982,4711.982,4711.982,4711.982,3533.989,117
3031.237,4041.645,4041.645,4041.645,4041.645,3031.237,118
3245.345,4327.121,4327.121,4327.121,4327.121,3245.345,119
3422.379,4563.167,4563.167,4563.167,4563.167,3422.379,120
3675.418,4900.553000000001,4900.553000000001,4900.553000000001,4900.553000000001,3675.418,121
3764.379,5019.169,5019.169,5019.169,5019.169,3764.379,122
3609.6020000000003,4812.803,4812.803,4812.803,4812.803,3609.6020000000003,123
3903.525,5204.697999999999,5204.697999999999,5204.697999999999,5204.697999999999,3903.525,124
3883.8810000000003,5178.504,5178.504,5178.504,5178.504,3883.8810000000003,125
3627.59,4836.782999999999,4836.782999999999,4836.782999999999,4836.782999999999,3627.59,126
4014.926,5353.232,5353.232,5353.232,5353.232,4014.926,127
3900.8879999999995,5201.182,5201.182,5201.182,5201.182,3900.8879999999995,128
3969.4599999999996,5292.611,5292.611,5292.611,5292.611,3969.4599999999996,129
3583.618,4778.156,4778.156,4778.156,4778.156,3583.618,130
