,global,direct,diffuse,resolution,doy
0,3026.307,731.55664,2294.7502,1m,1
1,3041.7737,739.5876,2302.1863,1m,2
2,3058.594,748.3596,2310.2344,1m,3
3,3220.997,757.8756,2463.1213,1m,4
4,3242.651,768.1385,2474.5127,1m,5
5,3265.6636,779.15063,2486.513,1m,6
6,3290.01,790.9144,2499.0957,1m,7
7,3315.6665,803.4317,2512.2346,1m,8
8,3344.0967,816.70416,2527.3926,1m,9
9,3372.3672,830.7326,2541.6345,1m,10
10,3401.869,845.51794,2556.3508,1m,11
11,3434.2253,865.0022,2569.2231,1m,12
12,3465.1794,882.2034,2582.976,1m,13
13,3498.8047,899.9778,2598.827,1m,14
14,3533.6238,918.5896,2615.0342,1m,15
15,3716.3577,938.0406,2778.3171,1m,16
16,3755.495,958.3551,2797.14,1m,17
17,3795.8054,979.4973,2816.308,1m,18
18,3837.2583,1001.469,2835.7893,1m,19
19,3879.8232,1024.2706,2855.5527,1m,20
20,4070.3545,1047.9021,3022.4521,1m,21
21,4118.459,1072.3612,3046.0972,1m,22
22,4167.5464,1097.645,3069.9011,1m,23
23,4217.5815,1123.7487,3093.8333,1m,24
24,4270.0254,1150.6658,3119.3594,1m,25
25,4321.914,1178.389,3143.5251,1m,26
26,4376.1553,1206.9099,3169.2454,1m,27
27,4429.7812,1236.2181,3193.5632,1m,28
28,4484.1714,1266.303,3217.8684,1m,29
29,4539.2866,1297.1521,3242.1345,1m,30
30,4595.0913,1328.7527,3266.3386,1m,31
31,4062.9893,1199.7499,2863.2393,1m,32
32,4118.2734,1230.7118,2887.5615,1m,33
33,4174.2173,1262.4147,2911.8027,1m,34
34,4471.8516,1298.0559,3173.7952,1m,35
35,4536.561,1331.8212,3204.7397,1m,36
36,4601.8315,1366.3527,3235.4788,1m,37
37,4667.6284,1401.6393,3265.9888,1m,38
38,4733.9155,1437.668,3296.2476,1m,39
39,4800.6587,1474.4237,3326.235,1m,40
40,4867.822,1511.8892,3355.9326,1m,41
41,4935.3696,1550.0461,3385.3232,1m,42
42,5006.398,1588.8734,3417.5244,1m,43
43,5074.8804,1628.3503,3446.53,1m,44
44,5143.6436,1668.4546,3475.189,1m,45
45,5211.531,1710.0565,3501.4739,1m,46
46,5281.0757,1751.8063,3529.2693,1m,47
47,5350.8877,1794.2019,3556.686,1m,48
48,5664.6763,1837.1881,3827.488,1m,49
49,5742.853,1880.7343,3862.119,1m,50
50,5821.015,1924.8184,3896.197,1m,51
51,5899.131,1969.4178,3929.713,1m,52
52,5977.168,2014.5076,3962.6604,1m,53
53,6055.0947,2060.0615,3995.0334,1m,54
54,6132.8804,2106.0515,4026.8289,1m,55
55,6210.495,2152.45,4058.0454,1m,56
