WallSurface_1,WallSurface_2,WallSurface_3,WallSurface_4,RoofSurface,doy
564,248,210,400,434,1
455,236,203,301,294,2
153,120,113,140,226,3
463,243,204,302,306,4
446,201,171,313,311,5
637,283,235,449,490,6
496,256,218,330,368,7
18,18,18,18,34,8
269,160,128,169,233,9
190,113,85,122,150,10
489,238,192,334,328,11
88,75,75,88,140,12
47,46,45,47,81,13
444,244,202,318,390,14
83,75,74,83,139,15
695,340,261,497,501,16
548,312,243,369,363,17
232,183,175,225,337,18
303,228,216,275,451,19
556,257,220,396,432,20
787,405,295,556,600,21
538,281,220,375,424,22
653,409,281,436,428,23
731,430,292,498,484,24
529,268,241,420,475,25
91,88,69,77,128,26
726,401,279,506,444,27
86,75,74,86,141,28
730,351,280,526,557,29
814,454,320,553,462,30
819,429,299,567,497,31
597,332,246,343,457,32
703,402,297,518,557,33
992,540,365,640,573,34
292,250,191,212,356,35
324,210,156,195,292,36
516,375,289,381,556,37
1155,574,398,736,716,38
1095,564,387,726,636,39
378,278,270,381,538,40
1054,536,381,685,652,41
1186,618,426,825,645,42
1162,593,438,789,876,43
1429,651,468,976,805,44
272,246,237,262,460,45
1428,668,498,1024,863,46
1582,697,539,1287,666,47
1662,684,534,1328,626,48
1501,702,546,1130,1107,49
1434,623,479,1012,752,50
484,349,321,390,633,51
96,97,90,92,164,52
256,222,184,195,346,53
1632,685,522,1248,821,54
1775,749,564,1339,886,55
1743,758,573,1266,944,56
1706,776,575,1261,974,57
1829,809,591,1347,892,58
1757,813,598,1352,882,59
1473,670,532,1160,862,60
1568,644,516,1199,899,61
924,548,443,852,897,62
1506,717,556,1187,1036,63
1524,784,628,1301,1269,64
1395,687,538,1160,1096,65
1766,871,692,1431,1505,66
1559,791,603,1323,1002,67
1530,743,591,1318,1179,68
1548,810,618,1289,1159,69
1676,922,691,1400,1356,70
1525,887,653,1302,1202,71
1603,896,691,1288,1523,72
1133,687,686,1291,1461,73
1193,713,562,974,1218,74
1645,1115,760,1325,1628,75
1575,1063,749,1313,1603,76
1507,1094,764,1273,1634,77
1532,936,750,1385,1709,78
1634,1183,868,1492,2014,79
1365,890,656,1066,1511,80
1352,1207,812,1275,1891,81
1744,1056,867,1532,1996,82
1462,945,739,1221,1705,83
747,620,615,801,1264,84
1005,763,707,1170,1448,85
1499,1084,769,1322,1771,86
639,416,457,871,890,87
496,431,434,540,841,88
1570,1248,881,1428,2069,89
1410,1174,824,1352,1907,90
1424,1525,924,1395,2043,91
1909,1452,995,1679,2245,92
1842,1295,966,1626,2184,93
1363,1011,809,1199,1732,94
1615,1009,890,1582,1960,95
1359,1084,812,1293,1669,96
1484,1474,959,1557,1957,97
1486,1493,965,1597,1935,98
1729,1568,1072,1769,2210,99
1648,1617,1153,2010,2070,100
1917,1409,1051,1872,2272,101
1816,1543,1103,1905,2252,102
1884,1553,1150,2073,2187,103
1975,1497,1149,2095,2299,104
1503,1421,1046,1867,1763,105
1553,1510,1111,2007,1748,106
1671,1408,1050,1977,1888,107
1588,1484,1116,2072,1709,108
1516,1407,1113,2095,1595,109
1525,1396,1126,2150,1548,110
1537,1384,1142,2218,1495,111
1528,1349,1138,2238,1421,112
1530,1354,1131,2226,1367,113
1566,1379,1106,2154,1408,114
1793,1292,1182,2209,2234,115
1970,1540,1169,1925,2513,116
1307,1145,857,1040,1517,117
1851,1513,1168,1941,2243,118
1900,1322,1204,2299,2416,119
1974,1561,1224,1842,2559,120
1788,1520,1283,2216,1911,121
