,global,direct,diffuse,directDuration,resolution,doy
0,4354.72,3030.968,1323.7524,9.0,1m,1
1,5138.4844,3815.265,1323.2195,9.0,1m,2
2,4415.862,3093.2183,1322.6436,9.375,1m,3
3,4127.394,2805.3699,1322.0244,9.0,1m,4
4,4861.984,3540.6223,1321.3617,11.375,1m,5
5,4623.878,3303.223,1320.655,9.0,1m,6
6,4439.5713,3119.6672,1319.9042,8.0,1m,7
7,4816.2173,3497.1084,1319.1088,11.5,1m,8
8,5398.1826,4079.9143,1318.2682,10.5,1m,9
9,6157.59,4840.2075,1317.3821,11.5,1m,10
10,5505.968,4189.518,1316.45,12.0,1m,11
11,5014.713,3699.2415,1315.4713,11.5,1m,12
12,5347.8223,4033.3765,1314.4456,10.25,1m,13
13,4783.4683,3470.0962,1313.3722,11.25,1m,14
14,5497.625,4185.3745,1312.2506,12.5,1m,15
15,5461.0776,4150.0044,1311.0734,11.5,1m,16
16,5466.236,4156.3916,1309.8444,12.0,1m,17
17,5458.5,4149.9336,1308.5665,12.5,1m,18
18,5467.3965,4160.1577,1307.239,12.5,1m,19
19,6160.7363,4854.875,1305.8612,13.0,1m,20
20,5433.2993,4128.867,1304.4321,12.25,1m,21
21,5424.2163,4121.265,1302.9512,12.5,1m,22
22,4704.2524,3402.835,1301.4176,10.0,1m,23
23,6121.6733,4821.843,1299.8303,13.5,1m,24
24,5385.1724,4086.9834,1298.1888,11.0,1m,25
25,5384.318,4087.8254,1296.4922,12.25,1m,26
26,4666.732,3371.9922,1294.7396,10.25,1m,27
27,6076.2847,4783.3594,1292.9254,13.0,1m,28
28,5342.177,4051.1223,1291.0546,11.5,1m,29
29,5338.435,4049.3083,1289.1267,12.0,1m,30
30,5343.202,4056.0613,1287.141,12.0,1m,31
31,5313.155,4028.0583,1285.0963,11.916667,1m,32
32,5299.9165,4016.9246,1282.992,12.0,1m,33
33,5305.128,4023.442,1281.6859,11.5,1m,34
34,5981.9326,4702.502,1279.4304,12.5,1m,35
35,5259.215,3982.0957,1277.1193,11.5,1m,36
36,5261.615,3986.8638,1274.7517,11.5,1m,37
37,5933.9194,4661.593,1272.3269,12.416667,1m,38
38,5213.1846,3943.3403,1269.8444,11.4375,1m,39
39,5214.4014,3947.099,1267.3021,11.5,1m,40
40,5881.741,4617.0415,1264.6998,12.5,1m,41
41,5163.3916,3901.3545,1262.037,11.5,1m,42
42,5163.2915,3904.029,1259.2628,11.5,1m,43
43,5825.089,4568.657,1256.4319,12.5,1m,44
44,5109.496,3855.9526,1253.5435,11.25,1m,45
45,5784.8706,4534.274,1250.5966,12.5,1m,46
46,5071.453,3823.8625,1247.5905,11.5,1m,47
47,5051.7856,3807.2612,1244.5242,11.5,1m,48
48,5720.909,4479.5117,1241.3971,12.5,1m,49
49,5011.141,3772.943,1238.1982,11.5,1m,50
50,5007.6455,3772.7551,1234.8904,11.5,1m,51
51,4968.6084,3737.0825,1231.5259,11.416667,1m,52
52,4946.7134,3718.6091,1228.1042,11.416667,1m,53
53,5604.182,4379.558,1224.6245,12.5,1m,54
54,4901.665,3680.5796,1221.0854,11.5,1m,55
55,4896.1235,3678.637,1217.4863,11.5,1m,56
56,4854.9434,3641.117,1213.8262,11.5,1m,57
57,4830.889,3620.8286,1210.0608,11.5,1m,58
58,5475.2646,4269.025,1206.2396,12.4375,1m,59
59,4781.5806,3579.2185,1202.3618,11.4375,1m,60
60,5420.349,4221.923,1198.4261,12.416667,1m,61
61,4730.6855,3536.254,1194.4314,11.5,1m,62
62,4722.2905,3531.9138,1190.3767,11.5,1m,63
63,5334.558,4148.305,1186.2526,12.5,1m,64
64,4651.3657,3469.321,1182.0448,11.5,1m,65
65,5275.0728,4097.29,1177.7823,12.5,1m,66
66,4596.5767,3423.1128,1173.4637,11.5,1m,67
67,5213.906,4044.8176,1169.0878,12.5,1m,68
68,4540.365,3375.7117,1164.6534,11.5,1m,69
69,4529.3574,3369.1973,1160.16,11.416667,1m,70
70,4482.758,3327.1665,1155.5913,11.5,1m,71
71,4471.0483,3320.084,1150.9642,11.375,1m,72
72,5053.9185,3907.636,1146.2827,12.25,1m,73
73,4393.904,3252.3582,1141.5458,11.375,1m,74
74,4987.316,3850.563,1136.7529,12.5,1m,75
75,4333.1777,3201.2737,1131.9039,11.25,1m,76
76,4919.353,3792.3582,1126.9946,12.25,1m,77
77,4271.331,3149.303,1122.0283,10.875,1m,78
78,4850.1235,3733.1133,1117.0101,12.0,1m,79
79,4208.489,3096.5488,1111.9402,11.0,1m,80
80,4194.2925,3087.3892,1106.9032,10.464286,1m,81
81,4745.7124,3643.1746,1102.5376,11.45,1m,82
82,3535.6243,2438.3608,1097.2635,9.5,1m,83
83,4673.6553,3581.6968,1091.9584,11.458333,1m,84
84,4048.9626,2962.3406,1086.6221,10.45,1m,85
85,4600.8525,3519.5986,1081.254,11.458333,1m,86
86,3983.3865,2907.534,1075.8524,10.45,1m,87
87,4527.3945,3456.9785,1070.4159,11.5,1m,88
88,3917.239,2852.3535,1064.8854,10.5,1m,89
89,3901.2075,2841.873,1059.3345,10.4375,1m,90
90,4415.963,3362.2,1053.7631,11.5,1m,91
91,3817.3303,2769.1594,1048.1709,10.5,1m,92
92,4341.279,3298.7205,1042.5583,11.5,1m,93
93,3750.5276,2713.6018,1036.9258,10.5,1m,94
94,4266.3,3235.0952,1031.2045,11.5,1m,95
95,3683.4846,2658.0098,1025.4749,10.5,1m,96
96,3666.9717,2647.2341,1019.73773,10.5,1m,97
97,3616.5767,2602.5835,1013.993,10.5,1m,98
98,3067.061,2058.82,1008.2409,9.416667,1m,99
99,4078.823,3076.341,1002.48193,11.5,1m,100
100,3516.6196,2519.9438,996.6757,10.416667,1m,101
101,4004.1367,3013.2712,990.8656,11.5,1m,102
102,3450.3828,2465.3228,985.0599,10.5,1m,103
103,3434.1238,2454.865,979.2588,10.5,1m,104
104,3433.9263,2460.4634,973.4628,10.5,1m,105
105,2864.4229,1896.7499,967.6729,9.5,1m,106
106,3819.7292,2857.8567,961.8725,11.5,1m,107
107,3287.3274,2331.2578,956.0697,10.416667,1m,108
108,3271.6726,2321.3882,950.2846,10.5,1m,109
109,3271.8958,2327.3782,944.51776,10.5,1m,110
110,2724.3274,1785.5573,938.77,9.5,1m,111
111,3640.1455,2707.1028,933.0427,11.5,1m,112
112,3129.31,2201.9727,927.3376,10.5,1m,113
113,2879.2468,1957.6066,921.6403,10.0,1m,114
114,3115.6157,2199.6438,915.9719,10.5,1m,115
115,3037.647,2127.3105,910.3365,10.5,1m,116
116,3023.723,2118.9875,904.7354,10.5,1m,117
117,2978.1118,2078.9412,899.17053,10.0,1m,118
118,2512.6714,1619.0273,893.644,9.5,1m,119
119,3368.208,2480.0498,888.1581,11.0,1m,120
120,2891.4067,2008.6967,882.71,10.0,1m,121
121,2438.2642,1560.9556,877.3084,9.0,1m,122
122,3272.493,2400.5354,871.9576,11.0,1m,123
123,2809.452,1941.992,867.4599,10.0,1m,124
124,2368.2805,1506.0986,862.18195,9.0,1m,125
125,2801.8071,1944.8329,856.9741,10.0,1m,126
126,2729.8296,1877.9327,851.89685,9.5,1m,127
127,2300.415,1453.5857,846.8293,8.5,1m,128
128,2694.3604,1852.5242,841.83606,9.5,1m,129
129,2699.587,1862.6678,836.91907,9.5,1m,130
130,2236.2222,1404.1434,832.0788,8.5,1m,131
131,2215.6187,1388.3439,827.2749,8.5,1m,132
132,2627.8108,1805.261,822.5499,9.5,1m,133
133,2301.5305,1483.6152,817.91516,8.5,1m,134
134,1847.0289,1033.6567,813.37225,7.5,1m,135
135,2182.1096,1373.1869,808.9228,8.5,1m,136
136,2539.2878,1734.7194,804.56854,9.5,1m,137
137,2474.4084,1674.0969,800.3114,9.5,1m,138
138,1785.1422,988.989,796.1532,7.5,1m,139
139,1728.9441,936.84814,792.09595,7.5,1m,140
140,2459.4517,1671.3451,788.1066,9.5,1m,141
141,2397.3062,1613.0878,784.2185,9.5,1m,142
142,1729.8031,949.36115,780.44196,7.5,1m,143
143,2004.6486,1227.8701,776.7784,8.5,1m,144
144,2033.4081,1260.1788,773.2294,8.5,1m,145
145,2140.0593,1370.2633,769.796,8.375,1m,146
146,2032.2073,1265.7269,766.48035,8.5,1m,147
147,1670.3936,907.1095,763.28406,7.5,1m,148
148,1937.7456,1177.5371,760.2086,8.5,1m,149
149,1609.2329,851.9773,757.2556,7.0,1m,150
150,2300.21,1545.7833,754.4266,9.5,1m,151
151,1709.2775,957.55444,751.723,7.5,1m,152
152,1961.8497,1212.7114,749.1383,8.5,1m,153
153,1561.3022,814.6303,746.67194,6.25,1m,154
154,1605.252,860.91425,744.33765,6.5,1m,155
155,1866.0978,1123.9613,742.1365,8.5,1m,156
156,1500.973,760.90356,740.0695,6.5,1m,157
157,1385.9293,647.79156,738.13776,6.5,1m,158
158,1988.5632,1252.2211,736.34216,7.0,1m,159
159,1650.8657,916.18195,734.6837,7.5,1m,160
160,1582.4333,849.27014,733.1632,5.5,1m,161
161,1687.3403,955.55884,731.78156,6.0,1m,162
162,1460.0916,729.5521,730.5394,5.0,1m,163
163,1495.3068,765.86914,729.43756,5.5,1m,164
164,1454.5856,726.1091,728.47656,6.0,1m,165
165,1125.1307,397.4738,727.6569,3.5,1m,166
166,936.73114,209.75194,726.9792,1.0,1m,167
167,1071.7837,345.33997,726.44366,2.0,1m,168
168,1484.8251,758.7743,726.0507,4.0,1m,169
169,738.7765,12.975945,725.80054,2.0,1m,170
170,725.6933,0.0,725.6933,0.0,1m,171
171,725.72906,0.0,725.72906,0.0,1m,172
172,738.89703,12.989257,725.9078,2.0,1m,173
173,1233.3192,507.08987,726.2294,2.0,1m,174
174,1026.6422,299.94855,726.6936,3.0,1m,175
175,1025.6746,298.3743,727.3003,1.0,1m,176
176,1037.3822,309.3332,728.049,3.5,1m,177
177,1407.2964,678.35706,728.9394,4.0,1m,178
178,1389.3611,659.3902,729.9709,5.0,1m,179
179,1201.898,470.75507,731.14294,4.5,1m,180
180,1553.1725,820.7175,732.4549,6.0,1m,181
181,1448.2838,714.3777,733.90607,4.5,1m,182
182,1640.0487,904.5531,735.4956,6.0,1m,183
183,2005.1433,1267.9205,737.2227,7.5,1m,184
184,1680.0831,940.99664,739.0865,7.5,1m,185
185,1380.0806,638.9946,741.086,5.5,1m,186
186,1562.2843,819.0642,743.22015,7.0,1m,187
187,1609.8981,864.41003,745.488,7.5,1m,188
188,1602.8745,854.98615,747.88837,6.5,1m,189
189,1626.4987,876.08014,750.41846,7.375,1m,190
190,1937.274,1184.2155,753.0586,8.5,1m,191
191,2081.909,1326.084,755.825,8.5,1m,192
192,1974.4348,1215.7188,758.7161,8.5,1m,193
193,1943.8502,1182.1199,761.7304,8.5,1m,194
194,1675.8333,910.9669,764.86633,7.5,1m,195
195,1687.0498,918.9274,768.1224,7.5,1m,196
196,1778.5316,1007.0347,771.4969,7.375,1m,197
197,2396.9307,1621.9424,774.98834,9.5,1m,198
198,1682.073,903.47815,778.59485,7.5,1m,199
199,1736.3494,954.03436,782.31494,7.5,1m,200
200,2042.9108,1256.7635,786.1473,8.5,1m,201
201,1844.7926,1054.7023,790.0904,7.5,1m,202
202,2488.3723,1694.2623,794.1099,9.5,1m,203
203,2092.8474,1294.6298,798.2176,8.5,1m,204
204,1807.5721,1005.147,802.4252,7.5,1m,205
205,2253.1282,1446.3976,806.73065,8.5,1m,206
206,2571.4766,1760.3444,811.13226,9.5,1m,207
207,2166.0593,1350.4314,815.62805,8.5,1m,208
208,2185.5356,1365.3193,820.21643,8.5,1m,209
209,2639.4644,1814.5686,824.8956,9.5,1m,210
210,2270.932,1441.2678,829.6642,8.5,1m,211
211,1924.3308,1089.8491,834.48175,7.5,1m,212
212,2666.5684,1827.2072,839.3613,9.5,1m,213
213,2737.0527,1892.7367,844.31616,9.5,1m,214
214,2311.4731,1462.1273,849.3458,8.5,1m,215
215,2742.8196,1888.3707,854.4489,9.5,1m,216
216,2815.1848,1955.5613,859.6236,9.5,1m,217
217,2379.9573,1515.145,864.8122,9.0,1m,218
218,2821.744,1952.442,869.30194,10.0,1m,219
219,2895.8164,2021.19,874.6265,10.0,1m,220
220,2893.046,2013.043,880.003,10.0,1m,221
221,2905.632,2020.2029,885.42926,10.0,1m,222
222,2981.3486,2090.453,890.89575,10.0,1m,223
223,2525.3577,1628.9553,896.4023,9.5,1m,224
224,2992.8706,2090.9224,901.9483,10.0,1m,225
225,3070.1167,2162.5852,907.5315,10.5,1m,226
226,2603.0845,1689.9346,913.14996,9.0,1m,227
227,3083.141,2164.339,918.80206,10.5,1m,228
228,3587.548,2663.0615,924.4866,11.5,1m,229
229,2683.3596,1753.1724,930.1873,9.5,1m,230
230,3224.3337,2288.43,935.9037,10.5,1m,231
231,3223.9067,2282.2654,941.64136,10.5,1m,232
232,3239.2961,2291.8972,947.3988,10.5,1m,233
233,3765.2256,2812.0508,953.1749,11.416667,1m,234
234,2821.8806,1862.9117,958.9689,9.5,1m,235
235,3384.857,2420.0764,964.78046,10.5,1m,236
236,3384.9543,2414.3875,970.5669,10.5,1m,237
237,3401.0562,2424.6963,976.3599,10.5,1m,238
238,3948.4229,2966.2642,982.15857,11.5,1m,239
239,3466.8945,2478.9326,987.9619,10.5,1m,240
240,4022.7703,3029.0005,993.7698,11.5,1m,241
241,3550.0708,2550.4888,999.58203,10.416667,1m,242
242,3566.5413,2561.1797,1005.3616,10.5,1m,243
243,4134.952,3123.8352,1011.117,11.416667,1m,244
244,3633.2842,2616.4192,1016.8651,10.5,1m,245
245,4209.9673,3187.3616,1022.60565,11.5,1m,246
246,3700.234,2671.8953,1028.3385,10.5,1m,247
247,4285.0776,3251.0134,1034.0638,11.5,1m,248
248,3784.3306,2744.5884,1039.7422,10.5,1m,249
249,3800.6353,2755.2708,1045.3644,10.458333,1m,250
250,4397.3105,3346.3445,1050.9661,11.4375,1m,251
251,3867.3386,2810.7915,1056.5471,10.45,1m,252
252,4471.779,3409.6714,1062.1074,11.5,1m,253
253,3933.8281,2866.1812,1067.647,10.45,1m,254
254,4545.8096,3472.6768,1073.1328,11.5,1m,255
255,3434.419,2355.8713,1078.5477,9.4375,1m,256
256,4619.105,3535.1729,1083.9323,11.464286,1m,257
257,4082.6416,2993.3567,1089.2849,10.5,1m,258
258,4097.777,3003.1726,1094.6042,10.4375,1m,259
259,4727.757,3627.8647,1099.8922,11.458333,1m,260
260,4160.843,3056.5369,1104.306,10.458333,1m,261
261,4797.545,3688.0872,1109.4575,11.5,1m,262
262,4224.391,3109.8345,1114.5569,10.464286,1m,263
263,4867.542,3748.0164,1119.5256,12.0,1m,264
264,4286.891,3162.3733,1124.518,10.916667,1m,265
265,4936.466,3807.0073,1129.4585,11.916667,1m,266
266,4366.0225,3231.6873,1134.3354,11.5,1m,267
267,4378.8306,3239.674,1139.1564,11.25,1m,268
268,4426.487,3282.5654,1143.9213,11.25,1m,269
269,4438.6772,3290.0469,1148.6304,11.375,1m,270
270,5102.9326,3949.6482,1153.2844,12.5,1m,271
271,4497.293,3339.4082,1157.8849,11.375,1m,272
272,5166.9546,4004.5403,1162.4142,12.375,1m,273
273,4554.549,3387.671,1166.8779,11.5,1m,274
274,5229.3525,4058.0696,1171.283,12.416667,1m,275
275,4628.045,3452.4146,1175.6301,11.5,1m,276
276,4637.804,3457.8835,1179.9205,11.5,1m,277
277,4682.4766,3498.321,1184.1554,11.5,1m,278
278,4691.4873,3503.1606,1188.3265,11.5,1m,279
279,5377.966,4185.554,1192.4115,12.5,1m,280
280,4743.5566,3547.1204,1196.436,11.5,1m,281
281,5434.2495,4233.8486,1200.4011,12.5,1m,282
282,5461.7075,4257.4,1204.3076,12.416667,1m,283
283,4818.7114,3610.5544,1208.1569,11.416667,1m,284
284,5515.2437,4303.2935,1211.9502,12.4375,1m,285
285,4866.7793,3651.116,1215.6635,11.4375,1m,286
286,5566.7983,4347.506,1219.2928,12.5,1m,287
287,4913.0835,3690.2217,1222.8616,11.5,1m,288
288,4935.6074,3709.2368,1226.3705,11.5,1m,289
289,4975.2896,3745.4688,1229.8207,11.5,1m,290
290,4979.3965,3746.183,1233.2133,11.45,1m,291
291,5687.2085,4450.659,1236.5493,12.45,1m,292
292,5021.472,3781.6638,1239.8087,11.25,1m,293
293,5041.7876,3798.8213,1242.9662,11.5,1m,294
294,5079.183,3833.121,1246.0623,11.5,1m,295
295,5081.1216,3832.0234,1249.0979,11.5,1m,296
296,5795.0938,4543.02,1252.0739,12.0,1m,297
297,5815.209,4560.218,1254.9908,12.5,1m,298
298,5136.9136,3879.0637,1257.8499,11.458333,1m,299
299,5853.9893,4593.3374,1260.6516,12.5,1m,300
300,5171.9487,3908.5784,1263.3704,11.5,1m,301
301,5188.757,3922.7556,1266.0015,11.5,1m,302
302,5908.3535,4639.7803,1268.5734,12.5,1m,303
303,5221.106,3950.0195,1271.0867,11.45,1m,304
304,5236.6562,3963.1165,1273.5397,11.5,1m,305
305,5958.427,4682.4917,1275.9352,12.4375,1m,306
306,5266.515,3988.241,1278.2739,11.5,1m,307
307,5280.835,4000.2783,1280.5565,11.5,1m,308
308,6004.3984,4721.6147,1282.7837,12.5,1m,309
309,5306.587,4022.5354,1284.0516,12.0,1m,310
310,5312.163,4026.0369,1286.126,10.9,1m,311
311,6044.5137,4756.3726,1288.1411,13.0,1m,312
312,4648.649,3358.5513,1290.0978,11.0,1m,313
313,5356.3623,4064.3652,1291.9971,12.0,1m,314
314,6082.3213,4788.4814,1293.8398,13.5,1m,315
315,5396.0312,4100.408,1295.6229,12.25,1m,316
316,5389.6245,4092.2769,1297.3474,12.25,1m,317
317,5399.9604,4100.944,1299.0165,12.5,1m,318
318,6126.8926,4826.262,1300.6307,13.0,1m,319
319,5133.2573,3831.0662,1302.191,11.5,1m,320
320,5417.967,4114.2686,1303.6982,11.0,1m,321
321,5437.711,4132.558,1305.1531,12.5,1m,322
322,6153.713,4847.1562,1306.5565,12.25,1m,323
323,5471.4604,4163.5513,1307.909,12.375,1m,324
324,5450.295,4141.0835,1309.2117,11.0,1m,325
325,5469.9824,4159.517,1310.465,12.5,1m,326
326,5168.263,3856.5935,1311.6697,11.0,1m,327
327,5792.0386,4479.221,1312.8175,11.375,1m,328
328,4637.86,3323.945,1313.9149,10.5,1m,329
329,4792.5913,3477.6267,1314.9644,11.25,1m,330
330,5177.691,3861.7246,1315.9664,10.5,1m,331
331,5374.5605,4057.6387,1316.9218,11.0,1m,332
332,5514.1987,4196.368,1317.8308,12.5,1m,333
333,4362.617,3043.9233,1318.6941,8.0,1m,334
334,4917.8184,3598.3064,1319.5121,10.5,1m,335
335,3946.7734,2626.4883,1320.2852,9.0,1m,336
336,4220.134,2899.1199,1321.0139,8.0,1m,337
337,4644.0854,3322.387,1321.6985,9.5,1m,338
338,5540.81,4218.4707,1322.3394,12.25,1m,339
339,4218.0933,2895.1562,1322.9369,9.5,1m,340
340,4917.0894,3593.598,1323.4913,10.25,1m,341
341,4498.3213,3174.3186,1324.0029,9.0,1m,342
342,3602.1804,2277.7085,1324.4719,6.0,1m,343
343,3636.0593,2311.1606,1324.8987,8.0,1m,344
344,3229.3093,1904.0262,1325.2832,5.5,1m,345
345,3815.9844,2490.3586,1325.6257,7.0,1m,346
346,3453.7725,2127.8462,1325.9264,8.0,1m,347
347,2983.4275,1657.2421,1326.1854,6.0,1m,348
348,1733.4459,407.04315,1326.4028,1.0,1m,349
349,3606.2915,2279.713,1326.5786,5.5,1m,350
350,1326.713,0.0,1326.713,0.0,1m,351
351,1326.8062,0.0,1326.8062,0.0,1m,352
352,2034.0912,707.2334,1326.8578,1.0,1m,353
353,6290.9243,4964.056,1326.8682,13.46875,1m,354
354,1326.8372,0.0,1326.8372,0.0,1m,355
355,6290.741,4963.9043,1326.8372,13.464286,1m,356
356,2033.9812,707.21643,1326.7648,1.0,1m,357
357,1326.651,0.0,1326.651,0.0,1m,358
358,2407.9324,1081.4365,1326.496,2.0,1m,359
359,2931.3218,1605.0226,1326.2993,4.5,1m,360
360,2665.4473,1339.3861,1326.0612,5.0,1m,361
361,3139.7693,1813.9879,1325.7812,6.0,1m,362
362,2872.783,1547.3234,1325.4597,6.0,1m,363
363,4061.2258,2736.1296,1325.0962,6.5,1m,364
364,3827.6943,2503.0037,1324.6906,7.0,1m,365
