WallSurface_S,WallSurface_W,WallSurface_N,WallSurface_E,RoofSurface,doy
1136.899,306.79543,233.21414,583.18211,5260.3937,1
2635.25615,425.18139,244.5436,945.43511,4369.1236,2
176.840704,130.850116,123.584436,146.628815,4684.873341,3
2351.71155,427.16596,254.87189,860.33088,4962.1328,4
1263.965404,255.756701,185.330951,549.286644,5130.334,5
1249.24186,354.34297,250.71241,617.98235,5577.0014,6
2037.57727,317.71417,206.00868,872.71666,5955.904,7
23.0137,22.68187,22.40194,23.41723,5336.2784,8
386.72488,199.563993,137.055908,170.778664,5581.1761,9
316.47468,151.47673,90.9053,117.80856,5537.6693,10
1930.82719,348.04408,212.62076,768.12632,5242.134195,11
76.096017,75.09606,73.77795,75.994335,4688.28976,12
52.26766,49.85941,49.17494,52.8888,4851.8581,13
610.67241,284.16319,210.77895,341.84103,4784.87249,14
93.31899,84.121419,82.424624,93.088286,4718.51469,15
1985.46796,489.64193,301.91046,802.14192,5396.95293,16
2828.07356,423.6228,241.25891,1144.48913,4866.12129,17
224.46101,167.8749515,156.5996296,186.05496,4949.505166,18
282.968742,222.3449227,206.4830436,249.331622,4855.47601,19
1062.6376,296.88955,236.05135,613.39097,4518.29871,20
1842.2233,540.0722,315.27271,771.10079,4497.21025,21
797.3233,344.4652,233.46085,414.0782,4270.35537,22
2888.917,631.456,313.30215,1106.53148,4630.15843,23
2605.2325,670.5272,341.45167,918.31692,5596.81068,24
754.9626267,294.7699309,254.3422324,505.0096773,5761.37632,25
162.11055,128.59551,85.67188,94.36139,4811.03373,26
2671.2308,646.2485,341.62374,1032.13633,4807.29734,27
102.555757,88.25177,87.251304,97.680358,5213.66157,28
1471.4438,461.3791,331.38536,864.51355,4941.8377,29
3370.7222,765.2687,406.9557,1343.9215,4649.70747,30
2605.9373,715.0037,384.2431,1078.5442,5566.74394,31
823.76895,392.71678,264.39172,355.09379,5926.82152,32
1372.6062,670.2151,337.44885,754.99574,5418.28743,33
3205.9204,829.0897,418.9963,1320.3,5659.8373,34
406.1517,355.00078,214.08569,231.79035,4852.42365,35
411.75168,256.23429,171.27092,201.32283,5330.94399,36
646.1649,472.6119,321.0398,423.6515,5098.23776,37
2562.61188,943.25171,446.70382,1121.43501,5517.59017,38
3077.52428,1035.10614,450.03092,1167.9803,6193.81702,39
490.06488,314.21943,303.12202,484.12572,6050.29939,40
2506.35943,869.3928,438.60886,1024.86293,5298.526545,41
3774.80866,1323.01781,510.32875,1527.12143,5350.98737,42
1922.17458,851.44202,490.65814,988.60063,5370.18755,43
3505.99649,959.35804,567.59034,1807.13812,4717.21325,44
304.67028,279.737811,269.154615,296.60408,5297.08021,45
3460.62279,1219.24092,555.49735,1829.06983,4572.63782,46
5142.05103,1699.77592,600.41841,2319.75444,5212.21772,47
5219.94033,1487.07902,604.11238,2503.5754,5420.52579,48
2489.5746,908.01952,597.47747,1488.26725,5289.42254,49
3650.525,1325.37307,538.45939,1528.37999,5958.59401,50
606.32044,385.57856,339.3867,435.22197,5854.28225,51
106.45699,108.56732,99.1062,101.53565,5544.72633,52
288.56662,260.81446,197.91012,204.97353,5551.9511,53
4136.25303,1470.04777,592.79999,2200.88118,5660.09013,54
4508.83088,1464.09402,644.14387,2408.92338,5026.25887,55
4295.63396,1596.86512,652.87894,2078.31458,4973.3159,56
4148.5189,1441.3895,658.89797,2172.06066,4695.295881,57
5114.6499,1897.9761,703.30201,2573.6509,4628.40224,58
5298.356,2059.1057,709.95599,2589.06722,4277.27302,59
3992.2835,1383.2845,629.7213,2141.3129,4394.84864,60
3560.614311,963.7126106,589.7102085,2352.28597,5092.06542,61
1603.968089,872.194809,479.829024,1309.834348,4672.47999,62
3600.570064,1243.312125,627.488105,2512.977102,5306.367918,63
3346.952232,1482.660347,740.68613,2082.099822,5191.01103,64
2539.952803,1040.435155,633.022972,1904.867245,5135.97659,65
3032.786378,1267.98307,822.747214,2010.95007,5200.22889,66
5485.8772,1756.00787,830.89701,3761.80051,4771.289736,67
3522.04912,1038.2435,672.05225,2928.84162,5625.297451,68
4330.34445,1417.64787,713.63679,3029.74355,5152.805182,69
4763.82299,1873.13171,863.66398,2696.58527,4838.833514,70
5317.93478,1826.96887,775.52925,3339.24803,5222.747695,71
2849.3643,1174.11454,760.53289,2646.32704,4514.102973,72
1362.70596,753.32024,720.43485,1569.26506,4611.437886,73
1585.13785,892.247871,594.81422,976.76242,4747.9978,74
4345.1123,1698.33811,819.78022,3334.30907,4742.027472,75
4960.66991,1830.3762,960.24241,3805.81802,4264.525908,76
5034.96692,1908.36108,886.487,3453.13721,4368.192177,77
3867.77035,1381.09883,850.21562,2528.32414,4204.334253,78
