,global,direct,diffuse,reflectance,resolution,doy
0,7400.56,598.8663,295.63223,0.005861727,1m,1
1,7244.53,604.83527,297.3467,0.005910748,1m,2
2,8136.756,611.3435,299.20645,0.005964127,1m,3
3,8132.613,618.3912,301.20935,0.006021852,1m,4
4,7564.609,626.01984,302.4331,0.006088412,1m,5
5,7711.524,634.3112,304.67392,0.006155901,1m,6
6,7706.292,643.15955,307.04684,0.006227803,1m,7
7,8012.644,652.5658,309.54898,0.006304106,1m,8
8,7130.808,662.531,312.17734,0.006384797,1m,9
9,7637.928,673.056,314.92868,0.00646986,1m,10
10,7630.833,684.1416,317.79974,0.006559279,1m,11
11,8043.758,695.7883,320.7871,0.006653036,1m,12
12,7552.936,707.9966,323.8872,0.00675111,1m,13
13,7396.63,720.7707,327.09375,0.006853514,1m,14
14,7870.267,734.1182,330.39932,0.006960284,1m,15
15,7861.156,748.0231,333.80997,0.007071256,1m,16
16,7498.586,762.4839,337.32117,0.0071864,1m,17
17,7699.259,777.4993,340.9285,0.007305684,1m,18
18,7291.484,793.068,344.62732,0.007429075,1m,19
19,7295.442,809.18823,348.41318,0.007556536,1m,20
20,8068.035,825.8583,352.28146,0.00768803,1m,21
21,7685.482,843.07574,356.2277,0.007823516,1m,22
22,7672.391,860.83795,360.24747,0.007962948,1m,23
23,7598.563,879.14154,364.3363,0.008106278,1m,24
24,7710.853,897.98254,368.4899,0.008253452,1m,25
25,7345.891,917.35645,384.5974,0.008479475,1m,26
26,7526.739,937.25806,389.56293,0.008638551,1m,27
27,7511.94,957.68146,394.59222,0.00880136,1m,28
28,7762.535,978.62006,399.6806,0.008967828,1m,29
29,7270.632,1000.06665,404.82343,0.009137877,1m,30
30,7728.73,1022.0135,410.0161,0.009311427,1m,31
31,7668.075,923.37573,495.02112,0.009200553,1m,32
32,7570.313,944.6693,501.64175,0.009379236,1m,33
33,7552.579,966.4249,508.3098,0.009561165,1m,34
34,7062.606,988.63403,519.15204,0.009746248,1m,35
35,7646.087,1011.2877,526.1444,0.009934391,1m,36
36,7829.059,1034.3765,533.1757,0.010125496,1m,37
37,7807.141,1057.8903,540.2404,0.010319464,1m,38
38,7444.312,1081.8188,547.333,0.010516192,1m,39
39,7475.431,1150.7969,554.0892,0.011009113,1m,40
40,6863.744,1177.4492,561.22015,0.011223345,1m,41
41,7223.293,1204.5276,568.363,0.011440299,1m,42
42,7645.224,1232.0192,588.1471,0.011739599,1m,43
43,7691.108,1259.9111,596.3869,0.011968521,1m,44
44,6893.993,1288.19,604.62823,0.012199851,1m,45
45,7775.982,1316.8422,612.8657,0.012433465,1m,46
46,7292.257,1345.8536,621.0939,0.012669239,1m,47
47,7413.234,1375.2103,629.3074,0.012907052,1m,48
48,6928.831,1404.8978,637.501,0.013146777,1m,49
49,7359.207,1434.9015,645.6697,0.013388291,1m,50
50,7222.562,1465.2067,653.80853,0.01363147,1m,51
51,7194.226,1495.7985,661.9127,0.013876187,1m,52
52,7288.247,1526.6616,669.9776,0.014122318,1m,53
53,7037.365,1557.7811,677.99866,0.014369739,1m,54
54,6898.689,1589.1416,685.97144,0.014618325,1m,55
55,7084.324,1620.7278,693.8918,0.014867953,1m,56
56,7053.789,1652.524,701.75555,0.015118499,1m,57
57,6254.797,1684.5153,722.1111,0.01544906,1m,58
58,6070.087,1517.6484,731.7982,0.014422996,1m,59
59,7182.157,1379.0897,876.57025,0.014442725,1m,60
60,7456.555,1404.7343,887.5117,0.014673797,1m,61
61,7291.751,1430.4862,898.36206,0.014904931,1m,62
62,6776.89,1456.3334,909.11664,0.015136022,1m,63
63,6838.398,1482.2638,919.7711,0.015366965,1m,64
64,6249.542,1508.2651,930.3214,0.015597659,1m,65
65,5711.901,1590.623,940.41833,0.016192708,1m,66
66,5683.628,1620.102,950.74677,0.016444018,1m,67
67,5771.058,1649.6958,960.95996,0.016695276,1m,68
68,6272.149,1657.9714,971.1894,0.01680769,1m,69
69,6606.687,1638.9178,981.377,0.01674392,1m,70
70,6123.096,1665.095,991.2254,0.016971063,1m,71
71,6098.021,1691.2604,1000.9459,0.017197287,1m,72
72,7026.67,1717.4028,1023.1839,0.017502328,1m,73
73,6802.626,1558.6428,1034.6139,0.016550465,1m,74
74,6343.575,1581.8234,1045.4208,0.016764639,1m,75
75,6307.329,1750.1974,1055.6802,0.017908944,1m,76
76,5991.803,1775.9885,1066.1927,0.018137647,1m,77
77,5323.793,1801.7079,1076.5538,0.018364906,1m,78
78,5500.431,1827.345,1086.7615,0.018590646,1m,79
79,5467.319,1852.8896,1096.8137,0.018814787,1m,80
80,5433.996,1878.3317,1106.7091,0.01903726,1m,81
81,5669.646,1903.6611,1116.4462,0.019257993,1m,82
82,5343.278,1928.8684,1126.0237,0.019476917,1m,83
83,5211.332,1953.944,1135.4406,0.019693967,1m,84
84,5177.424,1978.8784,1144.6959,0.019909078,1m,85
85,5577.734,2003.6627,1153.7891,0.020122191,1m,86
86,5588.211,2028.2881,1174.3765,0.020406814,1m,87
87,5751.409,2052.7458,1184.6163,0.020625051,1m,88
88,6055.443,2077.0276,1194.6781,0.020841025,1m,89
89,5719.875,2101.125,1204.5614,0.021054687,1m,90
90,5306.033,2253.6785,1181.9823,0.021884114,1m,91
91,5503.786,2410.576,1190.9268,0.022940641,1m,92
92,4885.875,2438.9868,1199.9502,0.02317589,1m,93
93,4504.04,2300.0593,1209.1005,0.02234214,1m,94
94,4962.245,2325.5017,1217.7738,0.022556473,1m,95
95,5252.585,2350.7087,1226.274,0.022768205,1m,96
96,5335.378,2375.673,1234.6017,0.022977296,1m,97
97,5073.3,2606.8013,1242.4357,0.024499875,1m,98
98,5036.874,2519.3162,1250.5956,0.023990836,1m,99
99,5000.494,2543.6838,1258.4103,0.024192844,1m,100
100,5138.477,2415.6018,1266.2828,0.023422925,1m,101
101,5066.436,2437.0957,1285.6251,0.023679597,1m,102
102,5029.886,2458.3142,1294.2645,0.023866974,1m,103
103,4993.418,2511.0437,1302.7366,0.024251597,1m,104
104,5303.303,2533.281,1311.0104,0.024443,1m,105
105,4856.146,2555.2397,1319.1023,0.024631485,1m,106
106,4862.907,2576.9138,1327.0134,0.024817025,1m,107
107,4748.274,2598.2976,1334.7452,0.024999594,1m,108
108,4834.205,2619.3857,1342.2991,0.025179164,1m,109
109,4798.682,2640.1733,1349.6764,0.025355717,1m,110
110,4852.935,2660.655,1356.8788,0.025529232,1m,111
111,5076.56,2889.4946,1363.6741,0.027026482,1m,112
112,5039.16,2889.7107,1370.5602,0.027068071,1m,113
113,5002.01,2911.288,1377.2505,0.02724516,1m,114
114,4965.126,2932.5137,1383.7727,0.02741897,1m,115
115,4790.263,2953.3838,1390.1285,0.027589483,1m,116
116,4754.507,2973.8943,1396.32,0.027756691,1m,117
117,4609.646,3182.47,1414.0394,0.029193196,1m,118
118,4034.003,3426.37,1420.6658,0.03079055,1m,119
119,3715.926,3458.1414,1424.8219,0.03103045,1m,120
120,3722.214,3554.9512,1551.2263,0.032442123,1m,121
121,3674.527,3579.0332,1557.7483,0.032636918,1m,122
122,4552.915,3601.9246,1564.4694,0.032824084,1m,123
123,4519.537,3624.4614,1574.1431,0.033007786,1m,124
124,4421.003,3646.603,1580.6359,0.033187818,1m,125
125,4684.652,3668.3313,1586.9396,0.03336409,1m,126
126,4651.703,3689.6453,1593.0549,0.033536606,1m,127
127,4146.425,3454.6653,1599.2253,0.03208012,1m,128
128,4118.104,3473.6653,1604.965,0.032235865,1m,129
129,4090.23,3492.279,1610.5209,0.03238807,1m,130
130,3924.541,3609.9456,1615.9128,0.0331638,1m,131
131,3898.047,3427.7764,1621.2646,0.03204054,1m,132
132,3583.632,3182.3303,1626.5261,0.03051253,1m,133
133,3559.963,2962.4463,1631.5543,0.029147686,1m,134
134,3536.763,2976.6877,1646.8934,0.02933475,1m,135
135,3514.041,2752.4653,1652.5157,0.02794609,1m,136
136,3773.013,2764.7283,1657.748,0.028056914,1m,137
137,3749.57,2776.6917,1662.7896,0.028164685,1m,138
138,3916.952,2788.351,1667.6434,0.02826939,1m,139
139,3908.575,2799.7017,1672.3123,0.028371014,1m,140
140,3870.096,2810.7393,1676.7988,0.02846954,1m,141
141,3847.582,2821.4592,1681.1061,0.028564958,1m,142
142,3825.689,3106.2136,1685.0275,0.030397985,1m,143
143,3620.726,3117.2466,1688.981,0.030493125,1m,144
144,3601.31,3116.6917,1698.5828,0.03051741,1m,145
145,3582.504,2788.0518,1702.7001,0.028452855,1m,146
146,3564.319,2796.689,1706.3611,0.028529871,1m,147
147,3546.761,2804.9893,1709.8541,0.02860373,1m,148
148,3529.838,2812.9512,1713.1809,0.028674433,1m,149
149,3513.557,3008.5098,1716.2728,0.02993082,1m,150
150,3334.655,3016.5552,1719.2731,0.029999997,1m,151
151,3289.829,3064.9343,1677.226,0.03004034,1m,152
152,3276.475,3072.289,1679.8058,0.030102558,1m,153
153,3263.744,3079.2576,1682.2329,0.030161403,1m,154
154,3466.278,3085.8384,1684.5087,0.030216875,1m,155
155,3453.978,3092.03,1686.6346,0.03026897,1m,156
156,3442.362,3097.8315,1688.612,0.030317694,1m,157
157,3431.433,3363.654,1690.2838,0.032013573,1m,158
158,3421.198,3369.117,1691.9691,0.03205833,1m,159
159,3412.196,3439.9277,1693.661,0.03251002,1m,160
160,3403.379,3444.9287,1695.0585,0.03255007,1m,161
161,3395.263,3449.4656,1696.3134,0.03258632,1m,162
162,3387.853,3453.7605,1707.8912,0.03268624,1m,163
163,3381.151,3457.3972,1709.0978,0.032716595,1m,164
164,3375.159,3261.7302,1710.195,0.03148572,1m,165
165,3369.88,3264.208,1711.0679,0.031506717,1m,166
166,3365.315,3266.253,1711.7753,0.031523958,1m,167
167,3517.738,3267.8643,1712.3179,0.031537447,1m,168
168,3514.425,3269.0422,1712.6963,0.03154718,1m,169
169,3511.874,3269.7864,1712.9111,0.031553164,1m,170
170,3390.625,3270.097,1712.9628,0.031555403,1m,171
171,3389.642,3269.9744,1712.8517,0.0315539,1m,172
172,3389.382,3269.419,1712.578,0.03154866,1m,173
173,3389.844,3268.4312,1712.1421,0.031539686,1m,174
174,3510.542,3267.012,1711.5438,0.031526983,1m,175
175,3512.557,3265.1619,1710.7834,0.031510554,1m,176
176,3515.329,3262.8818,1709.8608,0.03149041,1m,177
177,3362.466,3260.1733,1708.7758,0.031466562,1m,178
178,3366.499,3257.0376,1707.5281,0.031439006,1m,179
179,3371.239,3451.7668,1706.0597,0.032661565,1m,180
180,3376.685,3447.4526,1704.4854,0.032624573,1m,181
181,3399.995,3442.474,1692.4434,0.03251735,1m,182
182,3406.864,3437.278,1690.8179,0.03247456,1m,183
183,3414.43,3431.6292,1689.0544,0.032428063,1m,184
184,3422.688,3425.529,1687.1523,0.032377873,1m,185
185,3431.074,3354.1042,1684.9609,0.031919103,1m,186
186,3440.735,3347.602,1682.7802,0.031864643,1m,187
187,3451.077,3082.09,1680.6179,0.030167622,1m,188
188,3462.094,3075.3596,1678.1555,0.030109957,1m,189
189,3473.782,3068.255,1675.5504,0.030049056,1m,190
190,3266.425,3060.7776,1672.8015,0.029984923,1m,191
191,3278.547,3052.9302,1669.908,0.029917568,1m,192
192,3291.278,3044.7148,1666.8684,0.029846998,1m,193
193,3304.61,3036.134,1663.6819,0.02977322,1m,194
194,3476.618,3027.19,1660.347,0.029696245,1m,195
195,3492.056,2829.1333,1656.9337,0.028421996,1m,196
196,3508.112,2820.3647,1653.3,0.028344247,1m,197
197,3524.779,2811.2744,1649.5144,0.028263537,1m,198
198,3542.05,2801.865,1645.5757,0.028179873,1m,199
