GroundSurface,WallSurface_UUID_0aaf7b44-4fab-42b0-aaa7-380113caeea0,WallSurface_UUID_2ae98dca-a3b6-4890-a768-3bde754de4cb,WallSurface_UUID_1642fc1e-bbb4-49e9-b47d-881a3cf30be4,WallSurface_UUID_6e4f3933-7da7-446f-b8c2-6627879112b9,RoofSurface,doy
617.839,823.783,823.783,823.783,823.783,5378.26,1
813.147,1084.193,1084.193,1084.193,1084.193,4472.328,2
303.305,404.405,404.405,404.405,404.405,4793.636,3
781.19,1041.586,1041.586,1041.586,1041.586,5005.912,4
534.71,712.946,712.946,712.946,712.946,5177.236,5
682.458,909.942,909.942,909.942,909.942,5640.24,6
769.961,1026.615,1026.615,1026.615,1026.615,6020.404,7
46.927,62.566,62.566,62.566,62.566,5410.564,8
288.456,384.606,384.606,384.606,384.606,5657.296,9
207.912,277.217,277.217,277.217,277.217,5605.756,10
737.572,983.431,983.431,983.431,983.431,5294.536,11
161.754,215.673,215.673,215.673,215.673,4725.308,12
96.851,129.132,129.132,129.132,129.132,4902.196,13
504.722,672.961,672.961,672.961,672.961,4841.024,14
157.748,210.329,210.329,210.329,210.329,4771.404,15
939.042,1252.053,1252.053,1252.053,1252.053,5473.672,16
1034.93,1379.907,1379.907,1379.907,1379.907,4914.72,17
387.87,517.158,517.158,517.158,517.158,5069.804,18
495.357,660.474,660.474,660.474,660.474,4905.196,19
632.077,842.769,842.769,842.769,842.769,4562.416,20
983.699,1311.599,1311.599,1311.599,1311.599,4603.392,21
566.808,755.744,755.744,755.744,755.744,4308.588,22
1149.969,1533.29,1533.29,1533.29,1533.29,4687.092,23
1075.959,1434.612,1434.612,1434.612,1434.612,5680.4,24
633.807,845.075,845.075,845.075,845.075,5832.064,25
166.105,221.472,221.472,221.472,221.472,4865.936,26
1139.561,1519.412,1519.412,1519.412,1519.412,4847.304,27
189.824,253.095,253.095,253.095,253.095,5271.172,28
855.688,1140.917,1140.917,1140.917,1140.917,5000.716,29
1378.672,1838.229,1838.229,1838.229,1838.229,4692.36,30
1187.238,1582.983,1582.983,1582.983,1582.983,5679.64,31
559.445,745.926,745.926,745.926,745.926,6014.028,32
792.244,1056.321,1056.321,1056.321,1056.321,5484.588,33
1373.853,1831.803,1831.803,1831.803,1831.803,5743.452,34
410.699,547.594,547.594,547.594,547.594,4908.544,35
340.389,453.851,453.851,453.851,453.851,5456.316,36
621.69,828.918,828.918,828.918,828.918,5148.76,37
1282.139,1709.515,1709.515,1709.515,1709.515,5589.488,38
1445.386,1927.18,1927.18,1927.18,1927.18,6276.076,39
606.186,808.248,808.248,808.248,808.248,6126.616,40
1291.391,1721.852,1721.852,1721.852,1721.852,5418.724,41
1715.685,2287.578,2287.578,2287.578,2287.578,5412.156,42
1236.857,1649.14,1649.14,1649.14,1649.14,5437.86,43
1784.187,2378.915,2378.915,2378.915,2378.915,4761.252,44
492.43,656.572,656.572,656.572,656.572,5358.672,45
1749.573,2332.761,2332.761,2332.761,2332.761,4617.74,46
2252.943,3003.92,3003.92,3003.92,3003.92,5270.812,47
2330.279,3107.034,3107.034,3107.034,3107.034,5476.224,48
1608.774,2145.03,2145.03,2145.03,2145.03,5340.7,49
1886.19,2514.918,2514.918,2514.918,2514.918,6016.652,50
668.729,891.637,891.637,891.637,891.637,5924.708,51
174.921,233.227,233.227,233.227,233.227,5613.468,52
367.69,490.251,490.251,490.251,490.251,5603.78,53
2151.719,2868.957,2868.957,2868.957,2868.957,5722.596,54
2394.211,3192.28,3192.28,3192.28,3192.28,5080.692,55
2359.392,3145.853,3145.853,3145.853,3145.853,5027.244,56
2332.698,3110.264,3110.264,3110.264,3110.264,4734.556,57
2732.421,3643.227,3643.227,3643.227,3643.227,4677.948,58
2864.918,3819.889,3819.889,3819.889,3819.889,4311.664,59
2325.569,3100.756,3100.756,3100.756,3100.756,4439.6,60
2214.764,2953.018,2953.018,2953.018,2953.018,5155.5,61
1332.546,1776.724,1776.724,1776.724,1776.724,4710.572,62
2291.049,3054.728,3054.728,3054.728,3054.728,5383.9,63
2347.733,3130.309,3130.309,3130.309,3130.309,5284.42,64
1834.864,2446.482,2446.482,2446.482,2446.482,5186.676,65
2364.672,3152.891,3152.891,3152.891,3152.891,5255.128,66
3233.867,4311.822,4311.822,4311.822,4311.822,4819.624,67
2441.373,3255.163,3255.163,3255.163,3255.163,5771.044,68
2869.261,3825.681,3825.681,3825.681,3825.681,5237.292,69
3228.342,4304.452,4304.452,4304.452,4304.452,4921.816,70
3457.715,4610.285,4610.285,4610.285,4610.285,5339.256,71
2336.589,3115.451,3115.451,3115.451,3115.451,4623.204,72
1629.078,2172.103,2172.103,2172.103,2172.103,4705.228,73
1583.384,2111.175,2111.175,2111.175,2111.175,4858.28,74
3232.755,4310.338,4310.338,4310.338,4310.338,4842.34,75
3493.823,4658.428,4658.428,4658.428,4658.428,4349.456,76
3660.321,4880.424,4880.424,4880.424,4880.424,4484.148,77
3056.965,4075.951,4075.951,4075.951,4075.951,4324.4,78
3570.107,4760.137,4760.137,4760.137,4760.137,4678.612,79
2030.037,2706.712,2706.712,2706.712,2706.712,4384.32,80
4166.393,5555.187,5555.187,5555.187,5555.187,4298.024,81
2823.561,3764.746,3764.746,3764.746,3764.746,4968.824,82
2783.792,3711.721,3711.721,3711.721,3711.721,5092.136,83
1363.301,1817.732,1817.732,1817.732,1817.732,5608.772,84
1700.995,2267.991,2267.991,2267.991,2267.991,5227.732,85
3031.222,4041.628,4041.628,4041.628,4041.628,5157.384,86
1141.863,1522.482,1522.482,1522.482,1522.482,4696.124,87
901.114,1201.48,1201.48,1201.48,1201.48,4813.832,88
3936.515,5248.685,5248.685,5248.685,5248.685,4617.024,89
3792.92,5057.226,5057.226,5057.226,5057.226,4929.224,90
5081.486,6775.312,6775.312,6775.312,6775.312,5161.264,91
3528.27,4704.356,4704.356,4704.356,4704.356,4839.988,92
2707.399,3609.864,3609.864,3609.864,3609.864,4211.224,93
1907.67,2543.559,2543.559,2543.559,2543.559,4730.532,94
3044.346,4059.125,4059.125,4059.125,4059.125,4687.272,95
2002.809,2670.408,2670.408,2670.408,2670.408,3856.58,96
5083.072,6777.423,6777.423,6777.423,6777.423,3963.896,97
5190.245,6920.325,6920.325,6920.325,6920.325,3966.52,98
4945.358,6593.807,6593.807,6593.807,6593.807,4622.276,99
