,global,direct,diffuse,resolution,doy
0,8947.962,4451.196,4496.7666,1m,1
1,8955.283,4457.257,4498.0264,1m,2
2,8962.2705,4463.035,4499.2354,1m,3
3,8968.919,4468.525,4500.394,1m,4
4,8975.216,4473.7134,4501.5024,1m,5
5,8981.154,4478.5938,4502.5605,1m,6
6,8986.724,4483.156,4503.5684,1m,7
7,8991.917,4487.392,4504.5254,1m,8
8,8996.725,4491.293,4505.432,1m,9
9,9001.139,4494.85,4506.288,1m,10
10,9005.147,4498.056,4507.0923,1m,11
11,9008.747,4500.9014,4507.845,1m,12
12,9011.927,4503.38,4508.5474,1m,13
13,9014.679,4505.483,4509.1963,1m,14
14,9016.996,4507.2036,4509.7935,1m,15
15,9017.59,4508.5337,4509.0566,1m,16
16,9019.063,4509.4683,4509.595,1m,17
17,9020.079,4509.9985,4510.0806,1m,18
18,8972.437,4489.3247,4483.112,1m,19
19,8972.543,4489.166,4483.377,1m,20
20,8972.218,4488.618,4483.5996,1m,21
21,8971.455,4487.6763,4483.778,1m,22
22,8970.247,4486.3354,4483.912,1m,23
23,8968.591,4484.589,4484.002,1m,24
24,8966.48,4482.4326,4484.0474,1m,25
25,8963.909,4479.8623,4484.0474,1m,26
26,8960.877,4476.874,4484.002,1m,27
27,8957.373,4473.463,4483.9097,1m,28
28,8999.25,4487.641,4511.6084,1m,29
29,9799.017,4958.5884,4840.428,1m,30
30,9793.237,4953.066,4840.1724,1m,31
31,9614.856,4872.321,4742.536,1m,32
32,9608.57,4866.408,4742.162,1m,33
33,8800.729,4383.732,4416.997,1m,34
34,8793.735,4377.2812,4416.4546,1m,35
35,8786.243,4370.3916,4415.8516,1m,36
36,8778.247,4363.0596,4415.1875,1m,37
37,7968.442,3879.7166,4088.725,1m,38
38,7959.7876,3871.9229,4087.865,1m,39
39,7950.6416,3863.706,4086.9355,1m,40
40,7941.0015,3855.067,4085.9346,1m,41
41,7930.8687,3846.0063,4084.8623,1m,42
42,7920.24,3836.5256,4083.7146,1m,43
43,7909.1157,3826.625,4082.4905,1m,44
44,8674.425,4267.267,4407.1577,1m,45
45,8661.789,4255.9385,4405.8506,1m,46
46,8648.644,4244.182,4404.461,1m,47
47,8661.196,4237.9946,4423.202,1m,48
48,8645.723,4224.7607,4420.962,1m,49
49,8606.159,4206.3687,4399.7905,1m,50
50,8590.984,4192.927,4398.057,1m,51
51,8575.306,4179.0728,4396.2334,1m,52
52,8559.128,4164.812,4394.316,1m,53
53,8542.449,4150.147,4392.3022,1m,54
54,8523.967,4135.0825,4388.8843,1m,55
55,8506.363,4119.6265,4386.7363,1m,56
56,8488.271,4103.7827,4384.4893,1m,57
57,9218.732,4509.0713,4709.6616,1m,58
58,9198.948,4491.6562,4707.291,1m,59
59,8797.749,4311.2505,4486.4976,1m,60
60,8602.0205,4293.468,4308.5527,1m,61
61,8581.872,4275.327,4306.545,1m,62
62,8559.835,4256.8345,4303.001,1m,63
63,8538.815,4238.001,4300.8145,1m,64
64,8517.346,4218.832,4298.513,1m,65
65,8495.435,4199.34,4296.0947,1m,66
66,8473.087,4179.5317,4293.5557,1m,67
67,8450.312,4159.4194,4290.8926,1m,68
68,8427.116,4139.0117,4288.105,1m,69
69,9086.372,4488.2295,4598.143,1m,70
70,9061.417,4466.273,4595.1436,1m,71
71,9036.051,4444.039,4592.011,1m,72
72,8268.066,3993.8633,4274.2026,1m,73
73,8242.933,3972.2415,4270.691,1m,74
74,8217.445,3950.3994,4267.046,1m,75
75,8191.617,3928.3499,4263.267,1m,76
76,8165.456,3906.1045,4259.351,1m,77
77,8138.965,3883.6724,4255.2925,1m,78
78,8112.1377,3861.0632,4251.0747,1m,79
79,8084.943,3838.2798,4246.663,1m,80
80,8057.304,3815.3193,4241.985,1m,81
81,8661.867,4114.1865,4547.681,1m,82
82,8609.874,4085.5154,4524.3584,1m,83
83,8582.35,4061.77,4520.58,1m,84
84,8554.545,4037.858,4516.6875,1m,85
85,8529.08,4016.6301,4512.45,1m,86
86,8499.426,3992.4622,4506.9634,1m,87
87,8470.982,3968.164,4502.8184,1m,88
88,8442.311,3943.748,4498.563,1m,89
89,8413.425,3919.2268,4494.1973,1m,90
90,7895.3335,3694.421,4200.9126,1m,91
91,7717.701,3670.4326,4047.2683,1m,92
92,7689.5137,3646.3843,4043.1294,1m,93
93,8194.262,3873.2173,4321.044,1m,94
94,7862.401,3779.6855,4082.7156,1m,95
95,7835.513,3756.0662,4079.4468,1m,96
96,7808.497,3732.408,4076.0889,1m,97
97,7781.3633,3708.7224,4072.6409,1m,98
98,7083.242,3315.3013,3767.941,1m,99
99,7057.6143,3293.3547,3764.2598,1m,100
100,6989.1187,3256.9695,3732.149,1m,101
101,6965.234,3236.092,3729.1416,1m,102
102,6286.249,2857.5894,3428.6597,1m,103
103,6263.775,2838.2722,3425.5024,1m,104
104,6241.275,2818.984,3422.291,1m,105
105,6676.4155,2989.4382,3686.9773,1m,106
106,6652.426,2969.0188,3683.407,1m,107
107,6890.9814,2995.8145,3895.1672,1m,108
108,6864.0537,2974.0789,3889.9749,1m,109
109,6837.1694,2952.4463,3884.7234,1m,110
110,6810.3438,2930.9275,3879.4165,1m,111
111,6783.5923,2909.5332,3874.059,1m,112
112,6756.928,2888.274,3868.6548,1m,113
113,6730.3687,2867.1611,3863.2073,1m,114
114,6703.9272,2846.2048,3857.7222,1m,115
115,6677.62,2825.4155,3852.204,1m,116
116,6651.4624,2804.8042,3846.6582,1m,117
117,6625.469,2784.3809,3841.0886,1m,118
118,6599.658,2764.1558,3835.5022,1m,119
119,6574.043,2744.1387,3829.904,1m,120
120,6225.0806,2603.0754,3622.005,1m,121
121,6199.931,2583.978,3615.953,1m,122
122,6175.025,2565.1147,3609.9102,1m,123
123,6150.378,2546.4944,3603.8833,1m,124
124,6126.0054,2528.1265,3597.8787,1m,125
125,6101.923,2510.02,3591.9033,1m,126
126,5947.432,2492.183,3455.2488,1m,127
127,5924.9453,2474.6245,3450.321,1m,128
128,5902.771,2457.3523,3445.4187,1m,129
129,5880.9204,2440.3743,3440.5461,1m,130
130,5859.408,2423.6992,3435.709,1m,131
131,5838.248,2407.3342,3430.9136,1m,132
132,5817.452,2391.287,3426.1648,1m,133
133,5797.034,2375.5652,3421.469,1m,134
134,5775.576,2360.1748,3415.4011,1m,135
135,5756.0034,2345.124,3410.8796,1m,136
136,5736.846,2330.419,3406.427,1m,137
137,5718.115,2316.066,3402.0493,1m,138
138,5699.824,2302.0718,3397.7524,1m,139
139,5681.983,2288.4421,3393.541,1m,140
140,5972.458,2369.5251,3602.9329,1m,141
141,5953.9946,2355.6726,3598.3223,1m,142
142,5631.275,2249.8008,3381.474,1m,143
143,5615.345,2237.6873,3377.6575,1m,144
144,5599.9185,2225.966,3373.9521,1m,145
145,5585.004,2214.6418,3370.362,1m,146
146,5570.612,2203.72,3366.8918,1m,147
147,5556.7505,2193.2039,3363.5464,1m,148
148,5543.4272,2183.0989,3360.3286,1m,149
149,5530.652,2173.408,3357.244,1m,150
150,5518.4307,2164.136,3354.295,1m,151
151,5314.114,2085.321,3228.7925,1m,152
152,5303.0596,2077.042,3226.0178,1m,153
153,5292.5786,2069.1846,3223.3943,1m,154
154,5282.677,2061.751,3220.9255,1m,155
155,5273.3594,2054.7444,3218.6145,1m,156
156,5264.6304,2048.1675,3216.4631,1m,157
157,5256.4966,2042.0225,3214.4736,1m,158
158,5248.9604,2036.3116,3212.6492,1m,159
159,5242.0273,2031.0371,3210.9905,1m,160
160,5235.7,2026.2003,3209.4998,1m,161
161,5229.9814,2021.8036,3208.1775,1m,162
162,5224.8745,2017.8473,3207.0269,1m,163
163,5220.38,2014.3337,3206.0464,1m,164
164,5216.5015,2011.2632,3205.2383,1m,165
165,4692.2036,1760.4998,2931.7039,1m,166
166,4689.734,1758.4783,2931.2556,1m,167
167,4687.8345,1756.8596,2930.9746,1m,168
168,4686.506,1755.6442,2930.8616,1m,169
169,4685.746,1754.8318,2930.9143,1m,170
170,4685.5566,1754.4224,2931.134,1m,171
171,4685.9336,1754.4153,2931.5183,1m,172
172,4686.877,1754.81,2932.0667,1m,173
173,4688.3833,1755.6062,2932.7769,1m,174
174,4690.451,1756.8022,2933.649,1m,175
175,4693.0776,1758.3975,2934.68,1m,176
176,4696.259,1760.3906,2935.8682,1m,177
