DOY,MOY,INMET,GRASS,ArcGIS,CitySim,SimStadt,Ladybug,SAGA
1,1,5.402,7.40056,4.569876,5.2603937,4.752,5.37826,9.009739
2,1,4.5068,7.24453,5.353553,4.3691236,4.219,4.472328,9.013812
3,1,4.8193,8.136756,4.630837,4.684873341,4.422,4.793636,9.017466
4,1,5.0237,8.132613,4.342269,4.9621328,4.535,5.005912,9.020692
5,1,5.2085,7.564609,5.076751,5.130334,4.781,5.177236,9.023487
6,1,5.687,7.711524,4.8385303,5.5770014,4.969,5.64024,9.025841
7,1,6.0378,7.706292,4.6541016,5.955904,5.153,6.020404,9.02775
8,1,5.4137,8.012644,5.030618,5.3362784,4.612,5.410564,9.029203
9,1,5.7114,7.130808,5.612447,5.5811761,4.866,5.657296,9.030199
10,1,5.681,7.637928,6.37171,5.5376693,4.851,5.605756,9.030728
11,1,5.3174,7.630833,5.7199365,5.242134195,4.789,5.294536,9.030783
12,1,4.7457,8.043758,5.2285225,4.68828976,4.428,4.725308,9.030361
13,1,4.9514,7.552936,5.561465,4.8518581,4.508,4.902196,9.029452
14,1,4.8719,7.39663,4.9969365,4.78487249,4.339,4.841024,9.028054
15,1,4.8113,7.870267,5.710911,4.71851469,4.462,4.771404,9.026156
16,1,5.5118,7.861156,5.6741724,5.39695293,4.799,5.473672,9.022482
17,1,4.9605,7.498586,5.679131,4.86612129,4.521,4.91472,9.019622
18,1,5.0795,7.699259,5.671187,4.949505166,4.576,5.069804,9.016246
19,1,4.9496,7.291484,5.679868,4.85547601,4.63,4.905196,9.01235
20,1,4.5841,7.295442,6.372984,4.51829871,4.295,4.562416,9.007929
21,1,4.6268,8.068035,5.645315,4.49721025,4.29,4.603392,9.002978
22,1,4.3328,7.685482,5.6359907,4.27035537,4.105,4.308588,8.99749
23,1,4.6841,7.672391,4.915778,4.63015843,4.182,4.687092,8.99146
24,1,5.6586,7.598563,6.3329404,5.59681068,4.651,5.6804,8.984884
25,1,5.8195,7.710853,5.596173,5.76137632,4.903,5.832064,8.977757
26,1,4.9167,7.345891,5.5950425,4.81103373,4.492,4.865936,8.970073
27,1,4.8984,7.526739,4.877172,4.80729734,4.57,4.847304,8.96183
28,1,5.359,7.51194,6.2864297,5.21366157,4.855,5.271172,8.953022
