ArcGISPro,CitySim,GRASS GIS,Ladybug,SAGA GIS,SimStadt,Weather data,doy,month,diff_arcgis,percentage_arcgis,diff_citysim,percentage_citysim,diff_grass,percentage_grass,diff_ladybug,percentage_ladybug,diff_saga,percentage_saga,diff_simstadt,percentage_simstadt
4354.72,5260.39,2818.22,5378.26,7318.01,4752,5402.0,1,1,-1047.28,-19.39,-141.61,-2.62,-2583.78,-47.83,-23.74,-0.44,1916.01,35.47,-650.0,-12.03
5138.48,4369.12,2387.04,4472.33,7324.92,4219,4506.8,2,1,631.68,14.02,-137.68,-3.05,-2119.76,-47.03,-34.47,-0.76,2818.12,62.53,-287.8,-6.39
4415.86,4684.87,2735.12,4793.64,7331.5,4422,4819.3,3,1,-403.44,-8.37,-134.43,-2.79,-2084.18,-43.25,-25.66,-0.53,2512.2,52.13,-397.3,-8.24
4127.39,4962.13,2734.33,5005.91,7337.76,4535,5023.7,4,1,-896.31,-17.84,-61.57,-1.23,-2289.37,-45.57,-17.79,-0.35,2314.06,46.06,-488.7,-9.73
4861.98,5130.33,2235.13,5177.24,7343.66,4781,5208.5,5,1,-346.52,-6.65,-78.17,-1.5,-2973.37,-57.09,-31.26,-0.6,2135.16,40.99,-427.5,-8.21
4623.88,5577.0,2234.19,5640.24,7349.22,4969,5687.0,6,1,-1063.12,-18.69,-110.0,-1.93,-3452.81,-60.71,-46.76,-0.82,1662.22,29.23,-718.0,-12.63
4439.57,5955.9,2233.16,6020.4,7354.42,5153,6037.8,7,1,-1598.23,-26.47,-81.9,-1.36,-3804.64,-63.01,-17.4,-0.29,1316.62,21.81,-884.8,-14.65
4816.22,5336.28,2232.05,5410.56,7359.24,4612,5413.7,8,1,-597.48,-11.04,-77.42,-1.43,-3181.65,-58.77,-3.14,-0.06,1945.54,35.94,-801.7,-14.81
5398.18,5581.18,2230.85,5657.3,7363.69,4866,5711.4,9,1,-313.22,-5.48,-130.22,-2.28,-3480.55,-60.94,-54.1,-0.95,1652.29,28.93,-845.4,-14.8
6157.59,5537.67,1837.5,5605.76,7367.76,4851,5681.0,10,1,476.59,8.39,-143.33,-2.52,-3843.5,-67.66,-75.24,-1.32,1686.76,29.69,-830.0,-14.61
5505.97,5242.13,1836.3,5294.54,7371.42,4789,5317.4,11,1,188.57,3.55,-75.27,-1.42,-3481.1,-65.47,-22.86,-0.43,2054.02,38.63,-528.4,-9.94
