month,diff,rmse,total,source
1,0.0165,0.684,161.717,ArcGISPro
2,-0.0202,0.636,148.052,ArcGISPro
3,-0.078,0.626,141.896,ArcGISPro
4,-0.2247,1.142,103.468,ArcGISPro
5,-0.3779,1.45,71.258,ArcGISPro
6,-0.598,2.051,40.332,ArcGISPro
7,-0.4845,1.853,59.737,ArcGISPro
8,-0.2717,1.263,95.696,ArcGISPro
9,-0.0706,0.886,129.377,ArcGISPro
10,0.0625,0.635,160.014,ArcGISPro
11,0.0655,0.739,162.164,ArcGISPro
12,-0.3605,2.391,106.826,ArcGISPro
1,-0.0193,0.104,156.013,CitySim
2,-0.0156,0.089,148.747,CitySim
3,-0.0326,0.175,148.881,CitySim
4,-0.0481,0.229,127.032,CitySim
5,-0.0527,0.205,108.499,CitySim
6,-0.0707,0.239,93.226,CitySim
7,-0.069,0.262,107.88,CitySim
8,-0.0647,0.287,122.889,CitySim
9,-0.0577,0.294,131.165,CitySim
10,-0.0316,0.162,145.833,CitySim
11,-0.0241,0.128,148.525,CitySim
12,-0.0198,0.115,163.73,CitySim
1,-0.5782,3.017,67.104,GRASS GIS
2,-0.6251,3.455,56.649,GRASS GIS
3,-0.5255,2.651,73.03,GRASS GIS
4,-0.5356,2.43,61.978,GRASS GIS
5,-0.4831,1.848,59.208,GRASS GIS
6,-0.4262,1.454,57.567,GRASS GIS
7,-0.4957,1.885,58.439,GRASS GIS
8,-0.5213,2.278,62.899,GRASS GIS
9,-0.4747,2.306,73.119,GRASS GIS
10,-0.496,2.49,75.898,GRASS GIS
11,-0.5907,3.039,62.287,GRASS GIS
12,-0.5134,2.813,81.278,GRASS GIS
1,-0.0063,0.04,158.091,Ladybug
2,-0.0037,0.03,150.555,Ladybug
3,-0.0112,0.067,152.164,Ladybug
4,-0.0262,0.125,129.961,Ladybug
5,-0.0384,0.148,110.143,Ladybug
6,-0.0454,0.154,95.76,Ladybug
7,-0.0422,0.16,110.985,Ladybug
8,-0.0363,0.16,126.615,Ladybug
9,-0.027,0.142,135.446,Ladybug
10,-0.0139,0.075,148.512,Ladybug
11,-0.0101,0.056,150.662,Ladybug
12,-0.0077,0.049,165.752,Ladybug
1,0.4425,2.316,229.489,SAGA GIS
2,0.3129,1.814,198.399,SAGA GIS
3,0.4418,2.223,221.88,SAGA GIS
4,0.3963,1.865,186.344,SAGA GIS
5,0.575,2.154,180.393,SAGA GIS
6,0.4297,1.503,143.426,SAGA GIS
7,0.3658,1.44,158.257,SAGA GIS
8,0.3851,1.725,181.993,SAGA GIS
9,0.3383,1.707,186.292,SAGA GIS
10,0.3389,1.748,201.631,SAGA GIS
11,0.394,2.091,212.155,SAGA GIS
12,0.3556,1.98,226.44,SAGA GIS
1,-0.1039,0.574,142.562,SimStadt
2,-0.1645,0.945,126.258,SimStadt
3,-0.2224,1.166,119.675,SimStadt
4,-0.3572,1.71,85.784,SimStadt
5,-0.3469,1.411,74.804,SimStadt
6,-0.3556,1.247,64.64,SimStadt
7,-0.3908,1.505,70.591,SimStadt
8,-0.409,1.853,77.654,SimStadt
9,-0.3252,1.722,93.931,SimStadt
10,-0.1575,0.829,126.879,SimStadt
11,-0.0943,0.522,137.838,SimStadt
12,-0.1169,0.672,147.516,SimStadt
