WallSurface_1,WallSurface_2,WallSurface_3,WallSurface_4,RoofSurface,doy
564,248,210,400,4752,1
455,236,203,301,4219,2
153,120,113,140,4422,3
463,243,204,302,4535,4
446,201,171,313,4781,5
637,283,235,449,4969,6
496,256,218,330,5153,7
18,18,18,18,4612,8
269,160,128,169,4866,9
190,113,85,122,4851,10
489,238,192,334,4789,11
88,75,75,88,4428,12
47,46,45,47,4508,13
444,244,202,318,4339,14
83,75,74,83,4462,15
695,340,261,497,4799,16
548,312,243,369,4521,17
232,183,175,225,4576,18
303,228,216,275,4630,19
556,257,220,396,4295,20
787,405,295,556,4290,21
538,281,220,375,4105,22
653,409,281,436,4182,23
731,430,292,498,4651,24
529,268,241,420,4903,25
91,88,69,77,4492,26
726,401,279,506,4570,27
86,75,74,86,4855,28
730,351,280,526,4561,29
814,454,320,553,4425,30
819,429,299,567,5021,31
597,332,246,343,4936,32
703,402,297,518,4670,33
992,540,365,640,4967,34
292,250,191,212,4527,35
324,210,156,195,4878,36
516,375,289,381,4647,37
1155,574,398,736,4817,38
1095,564,387,726,5064,39
378,278,270,381,4929,40
1054,536,381,685,4460,41
1186,618,426,825,4376,42
1162,593,438,789,4520,43
1429,651,468,976,4348,44
272,246,237,262,4453,45
1428,668,498,1024,4123,46
1582,697,539,1287,4345,47
1662,684,534,1328,4678,48
1501,702,546,1130,4587,49
1434,623,479,1012,4499,50
484,349,321,390,4251,51
96,97,90,92,4343,52
256,222,184,195,4426,53
1632,685,522,1248,4567,54
1775,749,564,1339,4138,55
1743,758,573,1266,4397,56
1706,776,575,1261,4175,57
1829,809,591,1347,4161,58
1757,813,598,1352,3976,59
1473,670,532,1160,4015,60
1568,644,516,1199,4198,61
924,548,443,852,4135,62
1506,717,556,1187,4207,63
1524,784,628,1301,4154,64
1395,687,538,1160,4063,65
1766,871,692,1431,4081,66
1559,791,603,1323,3947,67
1530,743,591,1318,4013,68
1548,810,618,1289,4035,69
1676,922,691,1400,4075,70
1525,887,653,1302,3898,71
1603,896,691,1288,3800,72
1133,687,686,1291,3814,73
1193,713,562,974,4104,74
1645,1115,760,1325,3931,75
1575,1063,749,1313,3640,76
1507,1094,764,1273,3721,77
1532,936,750,1385,3745,78
1634,1183,868,1492,3886,79
1365,890,656,1066,3705,80
1352,1207,812,1275,3657,81
1744,1056,867,1532,3783,82
1462,945,739,1221,3776,83
747,620,615,801,3632,84
1005,763,707,1170,3715,85
1499,1084,769,1322,3594,86
639,416,457,871,3621,87
496,431,434,540,3612,88
1570,1248,881,1428,3620,89
1410,1174,824,1352,3498,90
1424,1525,924,1395,3310,91
1909,1452,995,1679,3460,92
1842,1295,966,1626,3363,93
1363,1011,809,1199,3295,94
1615,1009,890,1582,3395,95
1359,1084,812,1293,3124,96
1484,1474,959,1557,3158,97
1486,1493,965,1597,3058,98
1729,1568,1072,1769,3212,99
1648,1617,1153,2010,3172,100
1917,1409,1051,1872,2456,101
1816,1543,1103,1905,2907,102
1884,1553,1150,2073,3055,103
1975,1497,1149,2095,2789,104
1503,1421,1046,1867,2923,105
1553,1510,1111,2007,2941,106
1671,1408,1050,1977,2751,107
1588,1484,1116,2072,2436,108
1516,1407,1113,2095,2350,109
1525,1396,1126,2150,2704,110
1537,1384,1142,2218,2747,111
1528,1349,1138,2238,2690,112
1530,1354,1131,2226,2659,113
1566,1379,1106,2154,2494,114
1793,1292,1182,2209,1966,115
1970,1540,1169,1925,2652,116
1307,1145,857,1040,2718,117
1851,1513,1168,1941,2723,118
1900,1322,1204,2299,2663,119
1974,1561,1224,1842,2613,120
1788,1520,1283,2216,2464,121
1585,1363,1067,2092,2333,122
1677,1366,1113,1815,2057,123
1884,1614,1244,2171,2162,124
1866,1469,1127,1752,2198,125
1008,939,628,734,2164,126
1721,1411,1115,1900,2571,127
1752,1410,1175,2115,2518,128
2005,1498,1435,2369,2533,129
1969,1668,1359,2312,2519,130
2130,1782,1567,2462,2380,131
1751,1657,1398,2187,2548,132
1686,1553,1273,2023,2510,133
1971,1666,1313,2025,2505,134
1452,1115,913,1344,2471,135
1786,1515,1229,1939,2413,136
1376,1422,990,1033,2415,137
1773,1602,1332,1930,2373,138
2065,1731,1445,2182,2546,139
2058,1833,1481,2108,2319,140
2255,1882,1607,2365,2421,141
1878,1654,1430,1987,2499,142
2062,1802,1424,1939,2520,143
1733,1664,1434,1821,2394,144
1825,1730,1478,1888,2490,145
1729,1575,1309,1806,2368,146
1793,1501,1283,1816,2453,147
1860,1736,1431,1886,2406,148
1780,1724,1488,1878,2411,149
1770,1733,1413,1783,2450,150
1973,1856,1501,1964,2393,151
2046,1727,1439,2062,2397,152
1847,1680,1327,1846,2173,153
1871,1831,1514,1918,2321,154
1669,1567,1289,1617,2325,155
1846,1609,1286,1793,2310,156
1819,1585,1384,1954,2284,157
2013,1834,1514,2015,2266,158
1805,1680,1473,1950,2229,159
1791,1712,1510,1956,2228,160
1935,1881,1593,2011,2265,161
1879,1739,1467,1945,2251,162
1751,1642,1385,1838,2165,163
2048,1782,1564,2242,2149,164
1956,1769,1571,2164,2122,165
2074,1855,1550,2162,2260,166
1880,1743,1518,2028,2259,167
1804,1682,1466,1929,2073,168
2029,1906,1541,2002,1892,169
2009,1901,1558,2051,2068,170
1618,1512,1280,1755,2189,171
1905,1761,1479,1985,2183,172
1790,1681,1403,1928,2044,173
2003,1807,1618,2244,2014,174
2050,1867,1541,2122,1927,175
1971,1897,1645,2120,2196,176
1823,1734,1517,1986,2057,177
1995,1947,1589,2011,2124,178
1869,1812,1476,1892,1910,179
1577,1452,1112,1433,1945,180
1935,1731,1444,2025,2014,181
1659,1521,1429,1868,2061,182
1591,1462,1338,1745,2176,183
1702,1551,1460,1909,2088,184
1665,1464,1473,1986,2189,185
1557,1303,1244,1817,2003,186
1973,1651,1456,2114,1945,187
